"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 12, 2018","19,667.50","19,450.00","19,677.50","19,285.00","-","1.51%"
"Jul 11, 2018","19,375.00","19,700.00","19,730.00","19,247.50","-","-2.01%"
"Jul 10, 2018","19,772.50","19,642.50","19,845.00","19,642.50","-","0.82%"
"Jul 09, 2018","19,612.50","19,655.00","19,655.00","19,407.50","-","1.17%"
"Jul 06, 2018","19,385.00","19,705.00","19,712.50","19,280.00","-","-0.37%"
"Jul 05, 2018","19,457.50","19,650.00","19,675.00","19,435.00","-","-1.00%"
"Jul 04, 2018","19,655.00","19,645.00","19,760.00","19,510.00","-","0.15%"
"Jul 03, 2018","19,625.00","19,695.00","19,857.50","19,615.00","-","-0.54%"
"Jul 02, 2018","19,732.50","19,700.00","19,832.50","19,660.00","-","0.16%"
"Jun 29, 2018","19,700.00","19,675.00","19,827.50","19,565.00","-","0.11%"
"Jun 28, 2018","19,677.50","19,857.50","19,857.50","19,645.00","-","-0.51%"
"Jun 27, 2018","19,777.50","20,157.50","20,185.00","19,727.50","-","-1.96%"
"Jun 26, 2018","20,172.50","20,220.00","20,280.00","20,010.00","-","-0.07%"
"Jun 25, 2018","20,187.50","20,507.50","20,507.50","20,155.00","-","-1.24%"
"Jun 22, 2018","20,440.00","20,537.50","20,590.00","20,432.50","-","-0.28%"
"Jun 21, 2018","20,497.50","20,562.50","20,645.00","20,422.50","-","-0.47%"
"Jun 20, 2018","20,595.00","20,400.00","20,677.50","20,390.00","-","0.88%"
"Jun 19, 2018","20,415.00","20,567.50","20,587.50","20,290.00","-","-0.62%"
"Jun 18, 2018","20,542.50","20,760.00","20,832.50","20,490.00","-","-1.01%"
"Jun 15, 2018","20,752.50","20,900.00","20,900.00","20,742.50","-","-0.38%"
"Jun 14, 2018","20,832.50","20,932.50","20,965.00","20,755.00","-","-0.16%"
"Jun 13, 2018","20,865.00","21,075.00","21,077.50","20,725.00","-","-1.02%"
"Jun 12, 2018","21,080.00","21,120.00","21,235.00","20,997.50","-","-0.28%"
"Jun 11, 2018","21,140.00","21,115.00","21,260.00","21,015.00","-","-0.11%"
"Jun 08, 2018","21,162.50","21,237.50","21,275.00","21,025.00","-","-0.41%"
"Jun 07, 2018","21,250.00","20,940.00","21,297.50","20,902.50","-","1.18%"
"Jun 06, 2018","21,002.50","20,727.50","21,100.00","20,642.50","-","1.23%"
"Jun 05, 2018","20,747.50","20,645.00","20,747.50","20,587.50","-","0.40%"
"Jun 04, 2018","20,665.00","20,732.50","20,735.00","20,572.50","-","-0.35%"
"Jun 01, 2018","20,737.50","20,635.00","20,755.00","20,610.00","-","0.45%"
"May 31, 2018","20,645.00","20,455.00","20,757.50","20,455.00","-","0.36%"
"May 30, 2018","20,570.00","20,480.00","20,700.00","20,362.50","-","0.46%"
"May 29, 2018","20,475.00","20,340.00","20,772.50","20,340.00","-","0.65%"
"May 25, 2018","20,342.50","20,475.00","20,475.00","20,007.50","-","-0.17%"
"May 24, 2018","20,377.50","20,562.50","20,597.50","20,270.00","-","-0.80%"
"May 23, 2018","20,542.50","20,612.50","20,697.50","20,530.00","-","-0.19%"
"May 22, 2018","20,582.50","20,752.50","20,752.50","20,557.50","-","-0.80%"
"May 21, 2018","20,747.50","20,632.50","20,787.50","20,582.50","-","0.25%"
"May 18, 2018","20,695.00","20,657.50","20,787.50","20,512.50","-","0.06%"
"May 17, 2018","20,682.50","20,747.50","20,855.00","20,435.00","-","-0.36%"
"May 16, 2018","20,757.50","20,837.50","20,890.00","20,720.00","-","-0.50%"
"May 15, 2018","20,862.50","20,960.00","20,965.00","20,762.50","-","-0.47%"
"May 14, 2018","20,960.00","21,005.00","21,042.50","20,870.00","-","-0.19%"
"May 11, 2018","21,000.00","20,845.00","21,022.50","20,692.50","-","0.78%"
"May 10, 2018","20,837.50","21,195.00","21,252.50","20,672.50","-","-1.49%"
"May 09, 2018","21,152.50","21,055.00","21,320.00","20,935.00","-","0.63%"
"May 08, 2018","21,020.00","21,210.00","21,212.50","20,877.50","-","-0.93%"
"May 04, 2018","21,217.50","21,252.50","21,290.00","21,080.00","-","-0.21%"
"May 03, 2018","21,262.50","21,030.00","21,275.00","21,025.00","-","1.00%"
"May 02, 2018","21,052.50","21,207.50","21,227.50","21,032.50","-","-0.68%"
"May 01, 2018","21,197.50","21,182.50","21,270.00","21,145.00","-","0.08%"
"Apr 30, 2018","21,180.00","21,037.50","21,247.50","21,002.50","-","0.99%"
"Apr 27, 2018","20,972.50","21,300.00","21,332.50","20,890.00","-","-1.57%"
"Apr 26, 2018","21,307.50","21,145.00","21,402.50","21,145.00","-","0.26%"
"Apr 25, 2018","21,252.50","21,052.50","21,282.50","20,975.00","-","0.84%"
"Apr 24, 2018","21,075.00","21,062.50","21,212.50","20,975.00","-","-0.05%"
"Apr 23, 2018","21,085.00","21,652.50","21,665.00","20,935.00","-","-2.58%"
"Apr 20, 2018","21,642.50","21,482.50","21,682.50","21,450.00","-","0.55%"
"Apr 19, 2018","21,525.00","21,317.50","21,665.00","21,315.00","-","0.35%"
"Apr 18, 2018","21,450.00","21,372.50","21,637.50","21,297.50","-","0.33%"
"Apr 17, 2018","21,380.00","20,982.50","21,455.00","20,980.00","-","1.72%"
"Apr 16, 2018","21,017.50","20,962.50","21,130.00","20,840.00","-","0.00%"
"Apr 13, 2018","21,017.50","20,952.50","21,117.50","20,880.00","-","0.41%"
"Apr 12, 2018","20,932.50","21,005.00","21,005.00","20,817.50","-","-0.18%"
"Apr 11, 2018","20,970.00","20,937.50","21,085.00","20,922.50","-","0.26%"
"Apr 10, 2018","20,915.00","21,230.00","21,257.50","20,862.50","-","-1.44%"
"Apr 09, 2018","21,220.00","20,970.00","21,277.50","20,922.50","-","1.18%"
"Apr 06, 2018","20,972.50","21,100.00","21,107.50","20,910.00","-","-0.46%"
"Apr 05, 2018","21,070.00","20,837.50","21,085.00","20,837.50","-","0.79%"
"Apr 04, 2018","20,905.00","21,225.00","21,300.00","20,815.00","-","-1.67%"
"Apr 03, 2018","21,260.00","21,095.00","21,397.50","21,095.00","-","0.64%"
"Mar 29, 2018","21,125.00","20,830.00","21,307.50","20,812.50","-","1.12%"
"Mar 28, 2018","20,890.00","20,870.00","20,895.00","20,760.00","-","-0.01%"
"Mar 27, 2018","20,892.50","20,855.00","20,962.50","20,827.50","-","0.26%"
"Mar 26, 2018","20,837.50","20,817.50","20,925.00","20,732.50","-","0.22%"
"Mar 23, 2018","20,792.50","20,900.00","20,900.00","20,682.50","-","-0.65%"
"Mar 22, 2018","20,927.50","20,950.00","20,992.50","20,810.00","-","-0.11%"
