"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2019","1,518.33","1,517.26","1,518.81","1,517.26","3.65M","0.06%"
"Nov 06, 2019","1,517.43","1,518.03","1,518.03","1,517.19","4.03M","-0.04%"
"Nov 05, 2019","1,518.03","1,520.98","1,520.98","1,518.03","3.76M","-0.18%"
"Nov 04, 2019","1,520.71","1,520.16","1,520.71","1,519.62","5.99M","0.01%"
"Nov 03, 2019","1,520.51","1,524.38","1,526.53","1,520.51","6.31M","-0.18%"
"Oct 31, 2019","1,523.27","1,522.14","1,523.71","1,522.09","3.54M","0.07%"
"Oct 30, 2019","1,522.14","1,524.77","1,525.20","1,521.92","6.15M","-0.17%"
"Oct 29, 2019","1,524.77","1,523.32","1,525.25","1,523.32","4.46M","0.10%"
"Oct 28, 2019","1,523.32","1,527.13","1,527.20","1,523.14","3.50M","-0.25%"
"Oct 27, 2019","1,527.13","1,526.44","1,527.33","1,526.44","2.11M","0.05%"
"Oct 24, 2019","1,526.44","1,524.82","1,526.89","1,524.68","5.31M","0.08%"
"Oct 23, 2019","1,525.18","1,525.30","1,526.04","1,525.04","2.11M","-0.01%"
"Oct 22, 2019","1,525.30","1,526.29","1,526.29","1,525.30","1.23M","-0.09%"
"Oct 21, 2019","1,526.64","1,527.35","1,527.90","1,526.29","3.15M","-0.03%"
"Oct 20, 2019","1,527.12","1,526.86","1,527.83","1,526.33","2.77M","0.00%"
"Oct 17, 2019","1,527.12","1,525.85","1,529.31","1,525.85","4.03M","0.08%"
"Oct 16, 2019","1,525.85","1,524.63","1,526.45","1,524.63","5.75M","0.43%"
"Oct 15, 2019","1,519.37","1,521.55","1,524.31","1,519.05","7.15M","-0.12%"
"Oct 14, 2019","1,521.20","1,520.02","1,523.30","1,517.41","2.50M","0.09%"
"Oct 13, 2019","1,519.85","1,523.32","1,523.32","1,519.85","1.41M","-0.21%"
"Oct 10, 2019","1,523.04","1,517.92","1,523.66","1,517.92","2.40M","0.34%"
"Oct 09, 2019","1,517.92","1,517.72","1,518.19","1,515.30","4.49M","0.01%"
"Oct 08, 2019","1,517.72","1,519.04","1,521.88","1,517.72","2.42M","-0.09%"
"Oct 07, 2019","1,519.04","1,511.99","1,519.25","1,511.99","2.54M","0.47%"
"Oct 06, 2019","1,511.99","1,512.55","1,523.91","1,511.99","3.81M","-0.04%"
"Oct 03, 2019","1,512.55","1,513.93","1,513.93","1,512.40","3.17M","-0.09%"
"Oct 02, 2019","1,513.93","1,515.64","1,515.64","1,513.58","851.44K","-0.11%"
"Oct 01, 2019","1,515.64","1,516.47","1,516.50","1,510.81","2.61M","-0.06%"
"Sep 30, 2019","1,516.53","1,517.92","1,518.90","1,516.36","1.08M","-0.09%"
"Sep 29, 2019","1,517.92","1,521.34","1,521.34","1,517.92","3.91M","-0.22%"
"Sep 26, 2019","1,521.34","1,521.19","1,523.10","1,518.17","1.71M","0.09%"
"Sep 25, 2019","1,519.97","1,520.13","1,520.27","1,519.53","3.58M","-0.01%"
"Sep 24, 2019","1,520.13","1,519.43","1,522.47","1,519.43","7.26M","0.05%"
"Sep 23, 2019","1,519.43","1,519.23","1,524.49","1,516.80","2.66M","0.50%"
"Sep 22, 2019","1,511.86","1,490.60","1,517.65","1,490.60","4.62M","1.44%"
"Sep 19, 2019","1,490.39","1,489.38","1,491.80","1,481.77","4.25M","0.07%"
"Sep 18, 2019","1,489.37","1,513.93","1,514.19","1,481.90","2.91M","-1.62%"
"Sep 17, 2019","1,513.93","1,524.33","1,524.36","1,513.22","1.80M","-0.68%"
"Sep 16, 2019","1,524.33","1,535.28","1,535.28","1,522.61","5.39M","-0.73%"
"Sep 15, 2019","1,535.55","1,546.63","1,546.63","1,530.38","6.18M","-0.72%"
"Sep 12, 2019","1,546.63","1,544.59","1,546.63","1,544.49","3.39M","0.37%"
"Sep 11, 2019","1,540.91","1,548.29","1,550.79","1,540.91","3.44M","-0.51%"
"Sep 08, 2019","1,548.78","1,551.08","1,551.08","1,547.91","1.61M","-0.15%"
"Sep 05, 2019","1,551.08","1,542.16","1,551.15","1,542.16","4.24M","0.58%"
"Sep 04, 2019","1,542.16","1,542.83","1,543.43","1,542.16","1.39M","-0.07%"
"Sep 03, 2019","1,543.18","1,542.33","1,545.16","1,542.33","2.75M","0.16%"
"Sep 02, 2019","1,540.75","1,542.04","1,542.53","1,540.21","2.81M","0.50%"
"Aug 29, 2019","1,533.09","1,534.37","1,534.75","1,533.05","2.24M","-0.09%"
"Aug 28, 2019","1,534.43","1,537.21","1,537.21","1,534.43","1.76M","-0.17%"
"Aug 27, 2019","1,536.99","1,530.75","1,537.55","1,530.75","5.28M","0.41%"
"Aug 26, 2019","1,530.75","1,533.79","1,533.79","1,530.48","2.10M","-0.20%"
"Aug 25, 2019","1,533.79","1,533.66","1,534.50","1,531.87","1.69M","0.01%"
"Aug 22, 2019","1,533.60","1,532.21","1,534.06","1,531.67","2.62M","0.09%"
"Aug 21, 2019","1,532.21","1,534.69","1,534.88","1,529.95","2.39M","-0.16%"
"Aug 20, 2019","1,534.69","1,529.32","1,536.27","1,528.21","2.82M","0.35%"
"Aug 19, 2019","1,529.32","1,530.64","1,530.64","1,528.92","1.63M","-0.07%"
"Aug 18, 2019","1,530.43","1,535.20","1,536.86","1,530.43","3.29M","-0.31%"
"Aug 15, 2019","1,535.20","1,539.44","1,539.44","1,534.85","2.50M","-0.29%"
"Aug 14, 2019","1,539.59","1,543.55","1,543.55","1,539.25","2.85M","-0.26%"
"Aug 08, 2019","1,543.55","1,544.21","1,544.67","1,543.42","5.58M","-0.04%"
"Aug 07, 2019","1,544.21","1,545.20","1,547.00","1,544.15","5.27M","-0.06%"
"Aug 06, 2019","1,545.20","1,544.12","1,545.53","1,542.65","3.51M","0.04%"
"Aug 05, 2019","1,544.65","1,548.66","1,548.91","1,544.65","3.04M","-0.26%"
"Aug 04, 2019","1,548.66","1,549.58","1,550.97","1,548.66","3.77M","-0.06%"
"Aug 01, 2019","1,549.58","1,547.68","1,550.90","1,546.03","3.61M","0.12%"
"Jul 31, 2019","1,547.68","1,546.22","1,547.68","1,545.43","3.23M","0.09%"
"Jul 30, 2019","1,546.22","1,537.91","1,546.22","1,537.91","4.61M","0.66%"
"Jul 29, 2019","1,536.06","1,530.84","1,536.89","1,530.84","2.54M","0.55%"
"Jul 28, 2019","1,527.68","1,523.77","1,529.55","1,523.77","7.49M","0.33%"
"Jul 25, 2019","1,522.71","1,515.70","1,523.71","1,515.70","5.94M","0.46%"
"Jul 24, 2019","1,515.70","1,522.52","1,522.95","1,514.74","5.15M","-0.43%"
"Jul 23, 2019","1,522.30","1,527.17","1,527.40","1,519.51","3.18M","-0.32%"
"Jul 22, 2019","1,527.17","1,534.16","1,534.77","1,524.24","3.57M","-0.46%"
"Jul 21, 2019","1,534.16","1,535.15","1,535.24","1,533.86","1.66M","-0.24%"
"Jul 18, 2019","1,537.78","1,538.71","1,539.62","1,537.65","2.24M","-0.06%"
"Jul 17, 2019","1,538.71","1,535.48","1,539.61","1,535.48","3.12M","0.21%"
"Jul 16, 2019","1,535.48","1,533.97","1,536.22","1,533.88","3.57M","0.10%"
"Jul 15, 2019","1,533.97","1,537.08","1,537.08","1,533.87","3.24M","-0.20%"
"Jul 14, 2019","1,537.08","1,537.31","1,537.98","1,535.00","3.10M","-0.00%"
"Jul 11, 2019","1,537.09","1,539.91","1,541.13","1,537.09","3.12M","-0.18%"
"Jul 10, 2019","1,539.91","1,538.31","1,542.21","1,538.31","9.38M","0.10%"
"Jul 09, 2019","1,538.31","1,532.83","1,542.43","1,532.83","4.99M","0.36%"
"Jul 08, 2019","1,532.83","1,537.05","1,538.03","1,527.22","2.68M","-0.27%"
