"Date","Price","Open","High","Low","Change %"
"Nov 29, 2017","2.2359","2.2370","2.2424","2.2298","-0.04%"
"Nov 28, 2017","2.2368","2.2256","2.2396","2.2222","0.50%"
"Nov 27, 2017","2.2256","2.2243","2.2264","2.2140","0.32%"
"Nov 24, 2017","2.2186","2.2332","2.2382","2.2157","-0.68%"
"Nov 23, 2017","2.2338","2.2391","2.2448","2.2327","-0.23%"
"Nov 22, 2017","2.2389","2.2540","2.2610","2.2379","-0.71%"
"Nov 21, 2017","2.2550","2.2553","2.2666","2.2525","-0.02%"
"Nov 20, 2017","2.2554","2.2456","2.2640","2.2428","0.49%"
"Nov 17, 2017","2.2443","2.2479","2.2542","2.2416","-0.16%"
"Nov 16, 2017","2.2480","2.2435","2.2570","2.2425","0.20%"
"Nov 15, 2017","2.2435","2.2424","2.2527","2.2359","0.05%"
"Nov 14, 2017","2.2423","2.2688","2.2750","2.2421","-1.17%"
"Nov 13, 2017","2.2689","2.2742","2.2790","2.2670","-0.21%"
"Nov 10, 2017","2.2736","2.2716","2.2780","2.2687","0.06%"
"Nov 09, 2017","2.2722","2.2812","2.2905","2.2718","-0.39%"
"Nov 08, 2017","2.2812","2.2888","2.2909","2.2800","-0.34%"
"Nov 07, 2017","2.2890","2.2800","2.2971","2.2773","0.39%"
"Nov 06, 2017","2.2801","2.2855","2.2915","2.2782","-0.15%"
"Nov 03, 2017","2.2836","2.2717","2.2875","2.2642","0.56%"
"Nov 02, 2017","2.2708","2.2829","2.2833","2.2663","-0.48%"
"Nov 01, 2017","2.2817","2.2750","2.2840","2.2723","0.21%"
"Oct 31, 2017","2.2769","2.2768","2.2841","2.2742","0.03%"
"Oct 30, 2017","2.2763","2.2879","2.2898","2.2757","-0.31%"
"Oct 27, 2017","2.2834","2.2770","2.2915","2.2744","0.31%"
"Oct 26, 2017","2.2763","2.2441","2.2788","2.2392","1.41%"
"Oct 25, 2017","2.2447","2.2549","2.2584","2.2439","-0.45%"
"Oct 24, 2017","2.2548","2.2569","2.2593","2.2487","-0.11%"
"Oct 23, 2017","2.2572","2.2550","2.2628","2.2515","0.34%"
"Oct 20, 2017","2.2495","2.2363","2.2529","2.2331","0.57%"
"Oct 19, 2017","2.2368","2.2484","2.2530","2.2346","-0.58%"
"Oct 18, 2017","2.2498","2.2536","2.2623","2.2461","-0.18%"
"Oct 17, 2017","2.2539","2.2490","2.2616","2.2467","0.30%"
"Oct 16, 2017","2.2472","2.2436","2.2506","2.2405","0.20%"
"Oct 13, 2017","2.2428","2.2416","2.2462","2.2327","0.05%"
"Oct 12, 2017","2.2416","2.2360","2.2421","2.2322","0.24%"
"Oct 11, 2017","2.2363","2.2454","2.2481","2.2348","-0.43%"
"Oct 10, 2017","2.2459","2.2583","2.2587","2.2426","-0.51%"
"Oct 09, 2017","2.2575","2.2608","2.2633","2.2544","-0.11%"
"Oct 06, 2017","2.2599","2.2643","2.2725","2.2582","-0.19%"
"Oct 05, 2017","2.2641","2.2544","2.2666","2.2513","0.42%"
"Oct 04, 2017","2.2546","2.2576","2.2593","2.2489","-0.15%"
"Oct 03, 2017","2.2579","2.2608","2.2691","2.2533","-0.07%"
"Oct 02, 2017","2.2595","2.2438","2.2618","2.2436","0.67%"
"Sep 29, 2017","2.2445","2.2508","2.2534","2.2416","-0.20%"
"Sep 28, 2017","2.2490","2.2571","2.2622","2.2457","-0.35%"
"Sep 27, 2017","2.2569","2.2473","2.2620","2.2453","0.36%"
"Sep 26, 2017","2.2488","2.2385","2.2554","2.2351","0.47%"
"Sep 25, 2017","2.2382","2.2193","2.2418","2.2178","0.84%"
"Sep 22, 2017","2.2195","2.2214","2.2224","2.2094","-0.01%"
"Sep 21, 2017","2.2197","2.2290","2.2332","2.2174","-0.41%"
"Sep 20, 2017","2.2288","2.2100","2.2348","2.2029","0.85%"
"Sep 19, 2017","2.2100","2.2165","2.2180","2.2071","-0.38%"
"Sep 18, 2017","2.2185","2.2205","2.2270","2.2166","-0.10%"
"Sep 15, 2017","2.2208","2.2252","2.2283","2.2128","-0.19%"
"Sep 14, 2017","2.2250","2.2323","2.2422","2.2247","-0.30%"
"Sep 13, 2017","2.2316","2.2168","2.2347","2.2107","0.66%"
"Sep 12, 2017","2.2169","2.2197","2.2253","2.2151","-0.11%"
"Sep 11, 2017","2.2193","2.2039","2.2207","2.2035","0.71%"
"Sep 08, 2017","2.2037","2.2064","2.2079","2.1936","-0.11%"
"Sep 07, 2017","2.2062","2.2265","2.2279","2.2008","-0.89%"
"Sep 06, 2017","2.2261","2.2275","2.2292","2.2194","0.00%"
"Sep 05, 2017","2.2260","2.2288","2.2349","2.2203","-0.15%"
"Sep 04, 2017","2.2294","2.2348","2.2361","2.2247","-0.32%"
"Sep 01, 2017","2.2365","2.2271","2.2401","2.2149","0.42%"
"Aug 31, 2017","2.2271","2.2327","2.2439","2.2269","-0.23%"
"Aug 30, 2017","2.2322","2.2166","2.2333","2.2130","0.73%"
"Aug 29, 2017","2.2161","2.2144","2.2210","2.1978","0.13%"
"Aug 28, 2017","2.2133","2.2230","2.2254","2.2123","-0.49%"
"Aug 25, 2017","2.2243","2.2477","2.2546","2.2220","-1.05%"
"Aug 24, 2017","2.2480","2.2465","2.2528","2.2435","0.07%"
"Aug 23, 2017","2.2464","2.2557","2.2611","2.2452","-0.39%"
"Aug 22, 2017","2.2553","2.2443","2.2590","2.2426","0.46%"
"Aug 21, 2017","2.2449","2.2578","2.2620","2.2422","-0.47%"
"Aug 18, 2017","2.2554","2.2612","2.2644","2.2537","-0.31%"
"Aug 17, 2017","2.2624","2.2534","2.2765","2.2496","0.37%"
"Aug 16, 2017","2.2540","2.2605","2.2734","2.2532","-0.25%"
"Aug 15, 2017","2.2597","2.2508","2.2700","2.2477","0.36%"
"Aug 14, 2017","2.2515","2.2474","2.2555","2.2406","0.35%"
"Aug 11, 2017","2.2437","2.2525","2.2576","2.2384","-0.38%"
"Aug 10, 2017","2.2523","2.2538","2.2649","2.2496","-0.14%"
"Aug 09, 2017","2.2555","2.2578","2.2702","2.2536","-0.06%"
"Aug 08, 2017","2.2568","2.2480","2.2640","2.2422","0.38%"
"Aug 07, 2017","2.2483","2.2529","2.2535","2.2456","-0.16%"
"Aug 04, 2017","2.2519","2.2348","2.2622","2.2308","0.77%"
"Aug 03, 2017","2.2346","2.2367","2.2424","2.2300","-0.09%"
"Aug 02, 2017","2.2367","2.2470","2.2486","2.2272","-0.45%"
"Aug 01, 2017","2.2469","2.2404","2.2509","2.2394","0.36%"
"Jul 31, 2017","2.2388","2.2588","2.2614","2.2376","-0.79%"
"Jul 28, 2017","2.2567","2.2716","2.2726","2.2550","-0.64%"
"Jul 27, 2017","2.2713","2.2584","2.2771","2.2527","0.52%"
"Jul 26, 2017","2.2596","2.2771","2.2857","2.2582","-0.70%"
"Jul 25, 2017","2.2756","2.2777","2.2813","2.2671","-0.11%"
"Jul 24, 2017","2.2780","2.2757","2.2824","2.2698","0.20%"
"Jul 21, 2017","2.2734","2.2788","2.2805","2.2689","-0.31%"
"Jul 20, 2017","2.2805","2.3032","2.3129","2.2759","-0.99%"
"Jul 19, 2017","2.3032","2.2950","2.3053","2.2938","0.34%"
"Jul 18, 2017","2.2953","2.2986","2.3107","2.2869","-0.52%"
"Jul 17, 2017","2.3072","2.3230","2.3295","2.3064","-0.21%"
"Jul 14, 2017","2.3121","2.3281","2.3285","2.3121","-0.60%"
"Jul 13, 2017","2.3261","2.3073","2.3325","2.3055","0.39%"
"Jul 12, 2017","2.3171","2.3085","2.3312","2.3051","0.36%"
"Jul 11, 2017","2.3088","2.3361","2.3416","2.3088","-0.77%"
"Jul 10, 2017","2.3268","2.3287","2.3314","2.3241","0.03%"
"Jul 07, 2017","2.3260","2.3220","2.3317","2.3182","0.18%"
"Jul 06, 2017","2.3218","2.3360","2.3428","2.3212","-0.62%"
"Jul 05, 2017","2.3362","2.3391","2.3467","2.3316","-0.04%"
"Jul 04, 2017","2.3371","2.3312","2.3396","2.3283","0.21%"
"Jul 03, 2017","2.3323","2.3224","2.3357","2.3192","0.53%"
"Jun 30, 2017","2.3199","2.3161","2.3279","2.3144","0.09%"
"Jun 29, 2017","2.3178","2.3304","2.3316","2.3169","-0.55%"
"Jun 28, 2017","2.3306","2.3384","2.3493","2.3291","-0.33%"
"Jun 27, 2017","2.3383","2.3716","2.3743","2.3363","-1.40%"
"Jun 26, 2017","2.3716","2.3655","2.3758","2.3645","0.10%"
"Jun 23, 2017","2.3693","2.3803","2.3826","2.3678","-0.36%"
"Jun 22, 2017","2.3779","2.3733","2.3809","2.3706","0.17%"
"Jun 21, 2017","2.3739","2.3803","2.3849","2.3731","-0.29%"
"Jun 20, 2017","2.3809","2.3786","2.3862","2.3742","0.13%"
"Jun 19, 2017","2.3777","2.3683","2.3819","2.3617","0.41%"
"Jun 16, 2017","2.3679","2.3792","2.3817","2.3664","-0.47%"
"Jun 15, 2017","2.3790","2.3632","2.3836","2.3584","0.65%"
"Jun 14, 2017","2.3636","2.3571","2.3708","2.3487","-0.05%"
"Jun 13, 2017","2.3648","2.3746","2.3811","2.3642","-0.09%"
"Jun 12, 2017","2.3669","2.3716","2.3716","2.3605","-0.03%"
"Jun 09, 2017","2.3677","2.3629","2.3774","2.3575","0.22%"
"Jun 08, 2017","2.3624","2.3542","2.3734","2.3519","0.37%"
"Jun 07, 2017","2.3537","2.3534","2.3710","2.3480","0.15%"
"Jun 06, 2017","2.3502","2.3523","2.3607","2.3312","-0.20%"
"Jun 05, 2017","2.3548","2.3547","2.3644","2.3488","0.21%"
"Jun 02, 2017","2.3499","2.3667","2.3721","2.3493","-0.62%"
"Jun 01, 2017","2.3646","2.3589","2.3696","2.3543","0.25%"
"May 31, 2017","2.3587","2.3715","2.3775","2.3569","-0.52%"
"May 30, 2017","2.3711","2.3735","2.3886","2.3661","-0.15%"
"May 29, 2017","2.3747","2.3750","2.3782","2.3689","0.12%"
"May 26, 2017","2.3718","2.3689","2.3801","2.3630","0.24%"
"May 25, 2017","2.3662","2.3617","2.3703","2.3551","0.13%"
"May 24, 2017","2.3632","2.3712","2.3781","2.3627","-0.32%"
"May 23, 2017","2.3708","2.3597","2.3768","2.3556","0.47%"
"May 22, 2017","2.3596","2.3706","2.3794","2.3575","-0.28%"
