"ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID",
10304,10313,
10304,10313,
10304,10996,
10304,10996,
10304,11028,
10304,12087,
10304,12087,
10304,12676,
10304,12676,
10304,12709,
10304,12719,
10304,14493,
10304,14627,
10304,14816,
10304,14816,
10304,14880,
10304,12709,
10304,10299,
10304,10551,
10304,10299,
10304,10299,
10304,12807,
10304,10299,
10304,10304,
10304,10313,
10304,10551,
10304,10551,
10304,10996,
10304,10996,
10304,11028,
10304,11028,
10304,11813,
10304,12087,
10304,12087,
10304,12676,
10304,12719,
10304,12719,
10304,14013,
10304,14493,
10304,14627,
10304,14816,
10304,14880,
10304,15257,
10313,12087,
10313,12676,
10313,14816,
10313,10304,
10313,12087,
10313,12676,
10313,14816,
10313,10299,
10313,12676,
10322,10821,
10322,14122,
10327,15618,
10327,12127,
10329,12078,
10329,11042,
10329,13232,
10329,13898,
10329,14100,
10329,11697,
10333,11433,
10333,14150,
10333,11150,
10349,11630,
10349,11630,
10349,11833,
10349,15581,
10349,15599,
10349,15725,
10349,11630,
10361,14100,
10372,14771,
10372,14908,
10372,15167,
10372,12474,
10372,15325,
10372,11292,
10372,11298,
10372,12892,
10372,14869,
10396,10225,
10396,10225,
10396,10754,
10396,10754,
10396,13767,
10396,14125,
10396,14125,
10397,11618,
10397,12191,
10397,13303,
10397,14574,
10397,10397,
10397,10693,
10397,12992,
10397,11931,
10397,13484,
10397,11298,
10397,13891,
10397,14100,
10397,14730,
10397,10299,
10397,11193,
10397,12892,
10397,14107,
10397,10721,
10397,11697,
10397,12478,
10397,13204,
10397,11292,
10397,13930,
10397,10194,
10397,12889,
10397,13930,
10397,10423,
10397,11109,
10397,11193,
10397,11292,
10397,12391,
10397,12889,
10397,12892,
10397,12953,
10397,13204,
10397,13303,
10397,14100,
10397,14107,
10397,14492,
10397,14679,
10397,14683,
10397,14771,
10397,14843,
10397,14869,
10397,15304,
10397,15356,
10397,13930,
10397,11193,
10397,10135,
10397,10185,
10397,10208,
10397,10408,
10397,10423,
10397,10431,
10397,10685,
10397,10781,
10397,10868,
10397,10874,
10397,10980,
10397,10990,
10397,11003,
10397,11057,
10397,11146,
10397,11150,
10397,11612,
10397,11617,
10397,11624,
10397,11641,
10397,11721,
10397,11823,
10397,11953,
10397,11973,
10397,11977,
10397,12197,
10397,12264,
10397,12448,
10397,12478,
10397,12945,
10397,12951,
10397,13029,
10397,13230,
10397,13232,
10397,13367,
10397,13422,
10397,13795,
10397,14098,
10397,14574,
10397,14633,
10397,14783,
10397,14814,
10397,15249,
10397,15323,
10397,15370,
10397,15412,
10397,15919,
10397,14747,
10397,11292,
10397,11618,
10397,12264,
10397,12266,
10397,12892,
10397,13204,
10397,13495,
10397,13930,
10397,14679,
10397,14683,
10397,14747,
10397,14771,
10397,10140,
10397,10257,
10397,10423,
10397,10529,
10397,10693,
10397,10721,
10397,10792,
10397,10800,
10397,10821,
10397,11042,
10397,11057,
10397,11066,
10397,11193,
10397,11259,
10397,11278,
10397,11292,
10397,11423,
10397,11433,
10397,11540,
10397,11697,
10397,11996,
10397,12191,
10397,12206,
10397,12264,
10397,12278,
10397,12339,
10397,12391,
10397,12451,
10397,12889,
10397,12892,
10397,12896,
10397,12953,
10397,13198,
10397,13204,
10397,13232,
10397,13244,
10397,13296,
10397,13342,
10397,13487,
10397,13495,
10397,13796,
10397,13851,
10397,13871,
10397,13931,
10397,14027,
10397,14057,
10397,14100,
10397,14107,
10397,14122,
10397,14307,
10397,14321,
10397,14492,
10397,14524,
10397,14570,
10397,14576,
10397,14635,
10397,14679,
10397,14683,
10397,14730,
10397,14747,
10397,14771,
10397,14831,
10397,14843,
10397,14893,
10397,14908,
10397,15016,
10397,15304,
10397,15370,
10397,13930,
10397,10158,
10397,10423,
10397,10721,
10397,10821,
10397,11042,
10397,11298,
10397,11433,
10397,11618,
10397,11697,
10397,12266,
10397,12889,
10397,12892,
10397,13204,
10397,13487,
10397,13495,
10397,13930,
10397,14100,
10397,15304,
10397,11057,
10397,14100,
10397,10146,
10397,10431,
10397,10731,
10397,10980,
10397,11146,
10397,11292,
10397,11308,
10397,11641,
10397,11778,
10397,11823,
10397,11953,
10397,12007,
10397,12266,
10397,12323,
10397,13277,
10397,13377,
10397,13422,
10397,13795,
10397,13930,
10397,14108,
10397,14574,
10397,14696,
10397,14814,
10397,15323,
10397,15607,
10397,12264,
10397,12266,
10397,11278,
10397,11292,
10397,11423,
10397,11618,
10397,12124,
10397,12264,
10397,12266,
10397,12945,
10397,12953,
10397,13303,
10397,13930,
10397,14100,
10397,14492,
10397,10821,
10397,11193,
10397,14512,
10397,10397,
10397,10800,
10397,11618,
10397,11637,
10397,11995,
10397,12173,
10397,12892,
10397,13244,
10397,13296,
10397,13495,
10397,13796,
10397,14107,
10397,14869,
10397,11049,
10397,11834,
10397,11057,
10397,11278,
10397,11298,
10397,12892,
10397,12953,
10397,13303,
10397,13930,
10397,14100,
10397,14107,
10397,10135,
10397,10140,
10397,10208,
10397,10257,
10397,10408,
10397,10423,
10397,10431,
10397,10434,
10397,10529,
10397,10599,
10397,10693,
10397,10721,
10397,10785,
10397,10792,
10397,10800,
10397,10821,
10397,10868,
10397,10874,
10397,10980,
10397,10990,
10397,10994,
10397,11042,
10397,11057,
10397,11057,
10397,11066,
10397,11109,
10397,11146,
10397,11193,
10397,11252,
10397,11259,
10397,11267,
10397,11278,
10397,11292,
