,User,Location,DTG,Message
18,LdySas,,2020-10-28 00:30:57,"Protesters raid shops, ATMs after Philadelphia police shooting

https://t.co/7hN5c92OaH
#blm."
19,ChiVolunteerEMS,,2020-10-28 00:30:28,"So we’re wearing Halloween costumes to protest this week, right? #chicagoprotests #BLM"
20,btc_bets,singapore,2020-10-28 00:30:10,"We say #no to #racism !

#Black #Wives #Matter! ❤️

#trump #biden #election #MAGA #election2020 #DJT #Joebiden #future #important #vote #notoracism #love #blm #joke #humor #fun #dontbeserious https://t.co/2jCy8r55tq"
21,CaliLiliIndies,TheCaliLiliIndies™VenusBeach™,2020-10-28 00:29:59,"#WhenWeVote☑️ 
We Get Heard 📣
#WhenWeDontVote🗳️ 
WeGetHerded🚈
Ride #HERstory #GlobalFRATparty™OVER Election Train Revisited© 
https://t.co/PvJWzhW9RX https://t.co/VE62SQzFIT  
#BLM #NOH8 #VAWA #LGBTQ  #ClimateAction 
#RBG 
#RBGLegacy
#Vote
Like 
It's
A
Lifetime 
Appointment"
22,DoLesbiansTip,,2020-10-28 00:29:57,"@JoeBiden @KamalaHarris, please encourage football player Colin @Kaepernick7 to vote, assuming he is registered where he lives now.

He did not vote in November 2016.

#BLM @TeamJoe"
23,WallofVets,Tongva,2020-10-28 00:29:30,"Solidarity #LosAngeles 

If you are capable of supporting and standing with #Philidelphia and #WashingtonDC tonight!

#BLM #BlackLivesMatter #ProsecuteKilledCops #ProtectBlackLives #DefundPolice #AbolishPolice https://t.co/gbW71unW6F"
24,JackJamesKelly,North Carolina,2020-10-28 00:29:27,If you are protesting for #BLM make sure that you vote and finish the 'job'... protesting is a human right and voting is a right.... VOTE VOTE VOTE!
25,EyesPrizeResist,,2020-10-28 00:29:17,#blm #BigStructuralChange needed to annihilate systemic racism and injustice at all levels. https://t.co/MdKJyvouuy
26,MontyNishimura,North Carolina,2020-10-28 00:29:13,@BradBeauregardJ @jlcrump816 @JoeBiden #BlackLivesMatter is a self-described #Marxist organization which aspires to disrupt #lawenforcement &amp; #publicsafety -- #BLM is a #political HOAX -- 90%+ of all donations to #BLM go directly to the #Democrat party -- you are embracing #socialism and #BigGovernment
27,MsPresidentSA,"Philadelphia,USA",2020-10-28 00:29:11,"In the middle of an assignment, I hear chants outside my apartment and I couldn't have asked for a better interruption. 

I am going to assume that they are doing night vigil protests up until election day.

Philly remains the most politically involved I've lived in

#BLM https://t.co/vlKPnIOTxU"
28,Lanyiadr,United States,2020-10-28 00:29:10,If you took part in any protests for #blm #GeorgeFloyd #BreonnaTaylor; get out and vote! #finishthejob #OWNYourVote
29,Clyatt,"Las Vegas, Nevada 🇺🇸 🏳️‍🌈",2020-10-28 00:29:04,"While I’m waiting for @KamalaHarris here in #LasVegas ... this is the scene in West #Philadelphia, 55th and Pine St. where my amazing Doctor 👩🏼‍⚕️ daughter is part of this important protest of a needless killing in her neighborhood ... one week to go America 🇺🇸 #BLM https://t.co/248wOQdlsl"
30,CmdrKoenigMoon,"Seattle, Central District",2020-10-28 00:28:33,"This is CRITICAL @SeattleProtest1 info to re-circulate ...

@planetaryjim @seattleskeptic @FInseattle @NalaWasHere @andersonb0331 @Coldbrewmyashe1 @WeenLebowski @efreshwater5 @andersonb0331 @TheLiberatorASM @FarleyUrquhart @TTheft11 @flattenedOA @VetArchistOG @Vetforpeace1 #BLM https://t.co/audGrMXw5e"
31,EmpathSimply,Moon ,2020-10-28 00:28:28,"Boarding up for the looters again ..! 
#DemocratsAreDestroyingAmerica #VoteRedToSaveAmerica #DemocratsAreCorrupt #blm #DemocratPlantation #DemocratsTheEnemyWithin https://t.co/vbXikInzp7"
32,Th1nkthatimkobe,"Chicago,IL",2020-10-28 00:27:29,Check out We live Babyyyyy! 🏆 Sub up💯 #BLM Social Media's !iG !Twitter !Discord https://t.co/IVK2gFEu2A
33,VGK_fashion,"Ottawa, Ontario",2020-10-28 00:27:18,"#CongolsBleeding #ChildTrafficking #EndsSARS #BLM #WeAreOne  for awareness purposes, we will be giving out one shirt per order in November. https://t.co/WwS9TuMm4W"
34,KristinCobblep1,Gotham city,2020-10-28 00:27:17,"I'm on tumblr!
Gimme a follow at Kristincobblepot on tumblr if you love Gotham, Nygmobblepot, BLM and LGBTQ!!!!
✊🏿✊🏾✊🏽✊🏼✊🏻✊
#Blacklivesmatter
#BLM
#LGBTQlivesmatter

And you can reupload the pic as much as you want! 

❤️🧡💛💚💙💜
✊🏿✊🏾✊🏽✊🏼✊🏻✊

#Tumblr https://t.co/19Vm6Hni2x"
35,shea_laroux,"Olathe, KS",2020-10-28 00:27:09,"@llexiell @ernasheree @weslar1 @TriciaCreates @astot10 @rgay Oh AND, #BLM"
36,UsgovtC,Planet Earth,2020-10-28 00:26:58,@ltrain87x @BenjaminPDixon #EndSarsNow #BLM #BlackLivesMatter. We organize #Globally.
37,Alfieanne,"Temecula, CA",2020-10-28 00:26:57,"Corona Virus-19

Cases
8.82M
(+74,323)

Deaths
226K
(+534)

As with everything else... Donald Trump has filed Bankruptcy on Covid-19.
#COVID19 #BidenHarrisToSaveAmerica #BLM"
38,CommunismKills_,United States,2020-10-28 00:26:50,"WATCH: #BLM “protesters” gather to protest the death of a moped rider being pursued by DC Police

Subscribe to The Anti-Communist on YouTube for more👇👇👇👇👇

https://t.co/W0AdT8fMsN"
39,rawsmedia,"Washington, DC",2020-10-28 00:26:41,"This was the See you in about 10 minutes ago as mpd started using flash bangs on protesters #BlackLivesMatter #dmv  #KaronHylton
#dcprotest #dcprotests #blmprotest #BLM #HappeningNow #BLMDC
#Breakingnews #ACAB #DC #WashingtonDC #Breakingnews #Breaking https://t.co/OLvnIAg285"
40,MomRastas,,2020-10-28 00:26:34,"#MICHIGAN #Detroit #BLM You can win this for the future of the country! @GovWhitmer 

Don Winslow Films | Jeff Daniels - #AmericaNeedsMichigan https://t.co/bMSwm94CvU via @YouTube"
41,Tucker94907617,"Cornwall, UK, Maybe?",2020-10-28 00:26:14,"@CTVToronto @Raptors should leave Toronto.  There is no  place for racism in Canada!!! 

Any one  that supports #BLM and refuses to stand for national athem on Sept 11th to honor the 1st responders (911) does not deserve to be  in Canada!   KC can have them!"
42,BadTwitBot,,2020-10-28 00:26:06,"Before we know it the #BLM will ban the names ""Weinstein"" and ""Spencer"". #Antifa will punch anyone with those names. #MYPresident"
43,TessTay12252479,,2020-10-28 00:25:52,"@guardian R. Karma wrote “@JoeBiden has proposed additional funding for “co-response” teams, whereby mental health clinicians and social workers would respond to relevant calls alongside police officers.” THIS IS WHAT IS NEEDED #blm #BlackLivesMatter"
44,honorgoesfar,"Sarasota, FL",2020-10-28 00:25:46,Anybody notice #BLM disappeared when the nba finished? They also were the first sport to stop mid sport and freak the world out and instill fear. Mark Cuban needs to be investigated @TheJusticeDept. He is the one who started it all mid game with the Maverick’s. They disappeared!
45,arealshilljoy,The Great Commonwealth,2020-10-28 00:25:19,@Weedledouble #BLM though
46,J0yful4Life,USA,2020-10-28 00:25:09,"@FBI could learn a thing or two from @Project_Veritas!

#BLM #FightBack #CENSORSHIP https://t.co/fBzfVhrtbB https://t.co/3OeSoXhUoW"
47,dsche_g,United States,2020-10-28 00:25:01,"WHAT IN THE ACTUAL FUCK ITS SAD AND ALL BUT SHE DOESN'T DESERVE SHIT , SHE DIDNT DO ANYTHING TO HELP HIM Minneapolis teen 'humbled' to receive national Courage Award for filming George Floyd's killing by police #BLM #WHATTHEFUCK https://t.co/NH1AteYp6E"
48,TX_Bruce,"Austin, TX",2020-10-28 00:24:31,@Cody_Sanford @TMobile @Comparably It’s too bad you sold out to the terrorist group #BLM!  I’ll never purchase anything from you.
49,Erik_Goins,"Indiana, USA",2020-10-28 00:24:29,"Another example of being exhausted!  It’s too much!
#BLM https://t.co/0BB4bFF9TH"
50,XochitlGastelum,"Phoenix, AZ",2020-10-28 00:24:23,calling all kpop fans barbz and blm #kpop #barbz #blm this man thinks sexually assaulting women is funny https://t.co/Z6JF4CGWTr
51,ChandraRuiz,BoCo CO,2020-10-28 00:24:00,Odin the Great Dane says #BlackLivesMatter #BLM https://t.co/ExBhu0hZcL
52,carmenjonessmg,"Atlanta, GA",2020-10-28 00:23:56,"Thank you, Sir.  #BLM https://t.co/fdyD29z2zv"
53,democracy_16,"Boston, MA",2020-10-28 00:23:10,"Joe Biden - Health care is on the line.
Workers' rights are on the line.
Civil rights are on the line.
Women's rights are on the line.
LGBTQ+ rights are on the line.
Immigrant rights are on the line.👂🗳
#VoteEarly #VOTE #VoteBlue #VoteBlueDownTheBallot #michigan #Atlanta #blm https://t.co/n2u8kTGbHA"
54,ToddOKeefe1,,2020-10-28 00:22:37,"Jared Kushner, the son-in-law of President Donald Trump, implied that the lack of racial equality in the U.S. is due in part to a lack of motivation among Black Americans.  Wow there is white and then there is Jared I inherited and wed into money Kushner white!  #BLM"
55,nottodayysattan,Hogwarts ,2020-10-28 00:22:29,That ladies and gents is the epitome of white privilege. If you ignore the problem it is now longer a problem. Tell that to the black people who don’t get to ignore racism against them. The don’t get to ignore it but you do. I hate white people. 🤮👍#bitcoin #HAPPYWINWINDAY #BLM
56,Sayno2dem,,2020-10-28 00:21:42,Attack #police with a #knife you deserve to get #shot. #BLM needs to stop trying to turn pos criminals into victims
57,ppl4justice,,2020-10-28 00:21:01,"#BLM, #Women, #LBGTQ , #Immigrants , #daca, #Muslim ,
#BlackAmericans , #Latinos, #Latinx

""He lacks the empathy, integrity, intellect and maturity to lead,"" Ridge, who also served as the secretary of the Dept. of Homeland Security in Bush administration, wrote of Trump. https://t.co/PIKK4vHL6g"
58,rexyoungdotcom,"Seattle, WA",2020-10-28 00:20:30,"NOW: @PhillyPolice standoff against a HUGE crowd of  #BLM #Protesters in #Philadelphia, while marching continues in #Minneapolis. https://t.co/Ppvf7fcFju"
59,MarkKirchmeier,Portland,2020-10-28 00:20:01,Portland to consider Hardesty's plan Wednesday to restrict federally deputized #Portlandpolice officers https://t.co/t37mPwZAzd    #Portlandprotests #PortlandRiots  #PDX #BLM #Oregon  #tedwheeler #sarahiannarone #koin6news #VoteEarlyDay
60,equalnews12,"Pennsylvania, USA",2020-10-28 00:20:00,Current first family is the most racist family in the entire country. Let’s show them the door. #VoteThemOut #Election2020 #TrumpIsARacist #VoteBidenHarris2020 #BLM #TrumpMustGo #RepublicansForBiden
61,CaliLiliIndies,TheCaliLiliIndies™VenusBeach™,2020-10-28 00:19:51,"""when #goddess was removed from #culture #faith + #law  #ToxicMasculinity thrived""© #eVe: we really need our #goddesses back""© 
#NOH8 #BLM 
#RuleOfLaw 
#ClimateAction
#MeToo
https://t.co/tQax4PJMGo 
🎬https://t.co/r7hwds7iDs
🎵https://t.co/cLRvSOk0gy 
https://t.co/XGan48BCMS"
62,rawsmedia,"Washington, DC",2020-10-28 00:19:36,"Flash bangs have started to go off as more tear gas has been deployed by mpd #BlackLivesMatter #dmv  #KaronHylton
#dcprotest #dcprotests #blmprotest #BLM #HappeningNow #BLMDC
#Breakingnews #ACAB #DC #WashingtonDC #Breakingnews #Breaking https://t.co/MAKEcD4PMT"
63,TunitupRadio,"New York, USA",2020-10-28 00:19:23,"#NowPlaying Doubt My Love - Answelle
 https://t.co/nqpZjGhbQd please send tunes now #music   #followback #BLM #Love #funny   #tunein"
64,LaSelleP,Orbiting Saturn ,2020-10-28 00:19:07,@Bossdoggy247 @HomeDepot Punk ass. You’re why they kneel. #BLM
65,Tahoedreamer295,"Meeks Bay, Lake Tahoe ca",2020-10-28 00:18:56,@katyperry This is how we roll in NORCAL #VOTE #DEMOCRACY #USA #equityforall #BLM https://t.co/U3WqWSmz6l
66,4TS56,,2020-10-28 00:18:40,@ElijahSchaffer #BLM thanks for creating more Trump voters
67,sarahw3021,,2020-10-28 00:18:30,Speakers Corner 01/11/2020 #Flowers4Hatun #FreedomOfSpeech #BLM #BlackAn... https://t.co/yY6cY7wdFj via @YouTube
68,SeanRamones,"Chino Hills, CA",2020-10-28 00:18:15,".
Trump Lied - Americans Died - Republicans Hide

#Resist #FBR #FBRparty #TRE45SON #TrumpVirus #BLM #BLMprotest #PortlandProtest #PortlandMoms #USPS #ByeLindsey  #StopSusan #MoscowMitch #NotoriousRBG #JaimeHarrison https://t.co/GxSJ1WtVxA"
69,MAKERSwomen,"New York, USA",2020-10-28 00:18:06,"""I wrote 'our lives matter' and Patrisse put a hashtag in front of it."" 👏🏾 Within days #BlackLivesMatter had turned into a global movement.

Tune in now to @PBS #NOTDONE #BLM https://t.co/uC8ouW7dGe"
70,h_bohorquez94,"Philadelphia, PA",2020-10-28 00:17:52,Turned south on 40th. We could definitely use more people. Show up philly! #WalterWallaceJr #phillyprotest #blm
71,joninfinity,Seattle,2020-10-28 00:17:40,"#2020 Has been a year that most will gladly forget. The #BLM movement, the #COVID19 Pandemic, the passing of #RBG, rampant #unemployment, #SmallBusiness closures. There is one good thing that could end the year, if we #DumpTrump!  #VoteBlue2020 #SaveAmerica"
72,MiguelG02123214,,2020-10-28 00:16:27,"#bidencare is the worst marketing ploy I’ve ever seen.  Sorry, the doctor cant see you, he’s busy hiding in his basement, but his son who knows nothing about medicine is willing to provide his expertise. #biden #trump #maga #2020Election #blm #TaylorSwift"
73,nottodayysattan,Hogwarts ,2020-10-28 00:16:10,Black is beautiful honey and there is no reason to comment about the fact that the girl cast to play Tinker Bel isn’t white. Like the micro aggressions are just so fucking loud. #blm  #leadership #RecordOfYouth
74,sixxisdesigns,,2020-10-28 00:16:05,"Crazy Days and Crazy Nights... The violence in our Major Cities is only getting worse. #riots2020 #Philadelphia #Shooting #BLM #DomesticTerrorism 

Steven Cambian (#TruthSeekers) https://t.co/bm1pzYovo8"
75,SeanRamones,"Chino Hills, CA",2020-10-28 00:15:45,".
Trump Lied - Americans Died - Republicans Hide

#Resist #FBR #FBRparty #TRE45SON #TrumpVirus #BLM #BLMprotest #PortlandProtest #PortlandMoms #USPS #ByeLindsey  #StopSusan #MoscowMitch #NotoriousRBG #JaimeHarrison https://t.co/9p1c82Ij9N"
76,ChinaKatWrites,,2020-10-28 00:15:23,"This song, this video, this moment. Power to The People. No matter your color. One voice. One moment. #VoteBlue #BLM https://t.co/p4Zr65oFRq"
77,KCDGallagher,,2020-10-28 00:15:03,One year to the day after the largest mass protest in Chile's history ... and they vote to rewrite their nation's Constitution. Let this be a lesson to protesters here. Change CAN come. Protests DO matter. #BLM #PlebiscitoChile #KeepFighting https://t.co/wEVUwiFDGa
78,UptownKastro,"New York, NY",2020-10-28 00:14:51,WorldWide Solidarity #WalterWallaceJr #endsars #blm #AbolishThePolice globally! https://t.co/QjTlXng1KS
79,abundantlax,"Philadelphia, PA",2020-10-28 00:14:44,Prayers UP for everyone here in Philadelphia! #BLM #BlackLivesMatter Justice!
80,27amberrose,,2020-10-28 00:12:50,#GoPackGo  that’s so awesome! I hope other sports teams do the same for their communities. #classy #SayHerName #BLM #EndRacism https://t.co/qAXnW92JNX
81,ImLookgBackAtU,Where strong women blossom,2020-10-28 00:12:20,"Have you prepared for the planned new onslaught of more leftist violence and radical destruction that could harm your family, your home and loved ones? The Democrat Party has declared war on our country and we will have to defend it from their savages. 
#BLM #Antifa #ElectionDay"
82,AJ_Schwlf,"Sylva, NC",2020-10-28 00:12:20,"I will officiate your queer wedding. #LGBTQ 

I will escort you to receive reproductive health care. #reproductivejustice #istandwithplannedparenthood #carenomatterwhat

I will show up &amp; shut up because lives are at stake. #BLM"
83,SwagrightC,Ypsi/Arbor Mi,2020-10-28 00:11:56,S/O Philly for beating 30 police officers ass after police killed Walter Wallace at this point ion give a fuck get yo co workers in check you don't want this heat 💯 #BLM
84,rawsmedia,"Washington, DC",2020-10-28 00:11:50,"Dc police cars rush in a hurry as protesters get into the streets mpd helicopter shining spotlight
#BlackLivesMatter #dmv  #KaronHylton
#dcprotest #dcprotests #blmprotest #BLM #HappeningNow #BLMDC
#Breakingnews #ACAB #DC #WashingtonDC #Breakingnews #Breaking https://t.co/AsRk7Td5yq"
85,JohnBla27209136,"Salem, Illinois",2020-10-28 00:11:18,"#BLM 'protesters' are rioting in Philadelphia. 30 officers injured, rocks and bricks thrown at police, cop hit by a truck, businesses looted and vandalized, police cars set on fire. Why? Walter Wallace Jr. killed by police while running at them with a knife. Many warnings to drop"
86,SheikhaSheri,,2020-10-28 00:10:41,"This is such a powerful clip. @iamwill @IAMJHUD @JoeBiden
https://t.co/r1bWjxuMeM
#Love @CornelWest #BLM"
87,_BamBampdx_,,2020-10-28 00:10:18,Looks like there's a call of civil disruption and disobedience for the Portland metro area tonight catch me I'm black #Portlandprotests #portlandriots #callofaction #NoJusticeNoPeace #BLM #antifa #safepdx #fuck12 #fucktrump #fuckthegovernment
88,DW23503456,,2020-10-28 00:10:17,"As the China background of Biden, USA would absolutely just become the slave of CCP #BidenLaptopsMatter #BLM #CCPVirus #CCP_is_terrorist #BidenCrimeSyndicate https://t.co/WWeqBuoWSb"
89,stephhhanieeee6,,2020-10-28 00:09:39,please vote BLUE and encourage others to vote. USE YOUR VOICE!! #blm #fuckdonaldtrump https://t.co/L4Iymr7PiH
90,DerrickGuin,,2020-10-28 00:09:37,@MLB Your lucky if you loose viewers with that #BLM bullshit
91,SavageNation,Savage States of America,2020-10-28 00:09:31,LIVE: Police shooting of black man sparks unrest in Philadelphia 10-27-2020 https://t.co/exo3QRyjBA #BLM #Protest
92,jittertwit,"Los Angeles, CA",2020-10-28 00:09:29,These #runs kick my butt!  #running  #run #vote #bidenharris2020 #lgbtq #blm #reformthepolice #progressive  agenda #mainstreetnotwallstreet @ Encino https://t.co/bsipouPFLr
93,Wolfvs_,,2020-10-28 00:08:28,Reckoner Grindin'  [PC] !emblem #WolfPack #BLM #BeHeard https://t.co/uxw5P4bW3J
94,PlPancake,,2020-10-28 00:07:33,"#BLM is a terrorist organisation that have planned the protest for months and want to murder all white people
they want to take over the government and rule the world!"
95,PagodQuibe,♡ Anny,2020-10-28 00:07:15,"@SiteTheWeekndBR I’m voting for Blinding Lights for Favorite Song - Pop/Rock at the #AMAs 
i de igualdade, #BLM 
igualdade a todos, pois somos todos humanos"
96,aKahnR,United Kingdom,2020-10-28 00:07:12,As a POC I am a 100% #BLM supporter but this ⁦@Delta⁩ pilot was right. Vulgar language or conduct should not be allowed in a confined space where children are or can be present. This was not “white privilege” as I would have done the same.  https://t.co/iiYDKlbmXE
97,grahampointer72,Hythe (the real one) ,2020-10-28 00:06:54,It looks like there is an anti-CiN attitude in some quarters (e.g. people desperate to believe they are funding #BLM #BlackLivesMatter)
98,KusiolekR,Silicon Valley & Raleigh ,2020-10-28 00:06:48,"""truth curtain"". In 4yrs,realized @FBI &amp; @NSAGov under Obama= @DNC was a political arm of #PLA= &amp;  plotted in WH=to overthrow an election, -Next,-VP under @ThePresObama, used his office to gain wealth,-finally-#Cisco+SV-VCs paid $750Mil to #BLM/#Antifa for Fear content burns! https://t.co/hGYKchQyDv"
99,BriShotYa,"Virginia, USA",2020-10-28 00:06:25,COMMISSION ART| BriShotYa #BLM #LGBT #UBG #ART https://t.co/S2KHdezdku
