,User,Location,DTG,Message
24,fredtooflyy,,2020-10-28 01:33:30,@FOX29philly This really hurt 😢 #BLM
25,2manylogins,,2020-10-28 01:33:15,"#BLM 
F o x news now for @larryelder and #Leo talkin about 
@tavissmiley"
26,AndreCCanada,Canada / Brazil,2020-10-28 01:33:09,Congrats you are putting USA in shame... #BLM #Riots https://t.co/xBiyxVieyg
27,NHEbrLvr,The Live Freeze and Die State,2020-10-28 01:32:57,This really explains most of the BLM/Panty-fa riots. #BLM #AntifaTerrorists #fuckingidiots https://t.co/yF0ZutZcAv
28,jeffkern68,"Maryland, USA",2020-10-28 01:32:48,@KittyLists Looting for justice #BLMAntifaTerroristsThugs #BLM #blm
29,SherryMc1966,"McHenry, IL",2020-10-28 01:32:25,This is not okay. #BLM https://t.co/QbvtxbvSSk
30,LostJohnny,UK,2020-10-28 01:32:19,"I've watched enough looting thanks #BLM. 
Please fuck off back home to mummy."
31,tbasharks,,2020-10-28 01:32:09,"Sun Aug 23 2020 Portland, Oregon - Police respond to vandalism and fireworks with tear gas WATCH: https://t.co/skiavFD9M1 #PortlandOregon #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice"
32,AAAsparkplug,,2020-10-28 01:31:57,"Live now In Philadelphia #AccountabilityOfMedia #AntifaTerrorists #BLM 
#2020Election 
#BidenCrimeFamiily https://t.co/HDqcV4hQAb"
33,BikeItPhl,"Philadelphia, PA",2020-10-28 01:31:47,@I_Marcism @3lildoodlebugs @KeeleyFox29 @FOX29philly @Walmart @PhillyPolice Except this is no where near the #BLM protesters. This is Port Richmond (far north) &amp; the protesters for #WalterWallace are in West Philly completely on the other side of the city.
34,freddie1999,England,2020-10-28 01:31:46,VIDEO: #BLM/#Antifa supporters seen looting @riteaid pharmacy in #Philadelphia. https://t.co/qhBDJAefWK #drugs #DementiaJoe #JoeBiden 🇨🇳 #Diversity #KamalaHarris 🇨🇳 #democrats
35,cristenw,Michigan USA,2020-10-28 01:31:18,"😢We have to fight against maternal/infant loss, especially in Black Americans #BLM - so very tragic https://t.co/MVNtkKiBO9"
36,ChelseaThomass1,,2020-10-28 01:31:01,This episode is showing us how strong we’ve had to be this year. WE ARE STILL HERE DOING THE DARN THING. 💪🏻 #COVID19 #BLM #Election2020 #ThisIsUs
37,That_girl_me,❥❥❥❥Blessings❥❥❥❥,2020-10-28 01:31:01,@azsunrise9290 @FoxNews Yes I did but they are not apart of the protest...I hope people don't mix them in with #BLM about 30 were arrested which they should... chopper six sees everything 😉 lol
38,JohnFLally,United States,2020-10-28 01:30:55,A parking lot full of @JoeBiden voters aka #blm looters and rioters https://t.co/56jfeX9bNY
39,Carly23492233,,2020-10-28 01:30:38,"When will enough be enough? Police officers are not judge, jury, or executioner. Vote for reform, vote to protect our communities, vote to protect the vulnerable. Black lives have, and will always matter. We need to do better.  #BLM #WalterWallace #BreonnaTaylor #ElijahMcClain"
40,mszLeii,nyc,2020-10-28 01:30:31,"wow #ThisIsUs is depicting covid, quarantine &amp; #BLM so r. e. a. l."
41,catsvideo1,USA,2020-10-28 01:30:30,"@BreitbartNews #Antifa and #BLM are both #Badactors. Philadelphia was subjected to #BLM and #ANTIFA  #Rioting, #looting  and #attacks on the Police!"
42,IOTBW4,,2020-10-28 01:30:24,"Here we go again, another night of #BidenRiots planned for Philly.  Which city will it be next?

The terrorists of #BLM will loot your stores and commit violent crimes for uh, social justice?

https://t.co/h9dBVHF68p"
43,AlexisCeule,Middle of the Map,2020-10-28 01:30:24,Ok @realjerrybaker check out the thread here. Loads and loads of video evidence of the agitators. It’s a library. Some are just white people being horrible. A dad in his polo and khakis shoving #BLM protestors into a police line. 2 White adults handing out bricks to Blacks. 🙄
44,BikeItPhl,"Philadelphia, PA",2020-10-28 01:30:15,@BeachChairSays @KeeleyFox29 @Walmart @PhillyPolice @FOX29philly In West Philly focused on hassling a peaceful protest while wayyyyy cross town these fools who have nothing to do with #blm take advance of the distracted cops.
45,RedInkWisdom,,2020-10-28 01:30:04,#BLM  = Black Leftist Marauders https://t.co/aUWS1HmBKw
46,n3ckf,"California, USA",2020-10-28 01:29:57,"@ScottAdamsSays Try Palo Alto, lotsa glass and good stores downtown-you look like a man who needs a new iPhone!  Because #BlM"
47,realridemaDick,Boogaloo ,2020-10-28 01:29:17,"Yet they wonder why businesses quit investing in their communities 

Here’s Your Sign #BLM https://t.co/bmfjetr5oM"
48,tainky131,NO DMS PLEASE ,2020-10-28 01:29:10,"I’m sure this is more of the Reparations we always hear about. I wonder how much bread &amp; milk is left? 
#BLM #antifa #BLMAntifaTerroristsThugs #Thugs #Philadelphia #AOC #DemsAreDestroyingAmerica https://t.co/VBWZtcs7L7"
49,PatriavigilanG,"ROCHESTER, NY",2020-10-28 01:29:00,"#Philadelphia #Philadelphiaprotest #blm 

HOW HOW HOW ARE YOU RIOTING WITH POLICE...AGAIN...OVER ANOTHER THUG...DURING THIS CRITICAL TIME IN AN ELECTION... WHERE PEOPLE SEE THIS CRAP AND WANT TO SWING TO TRUMP BECAUSE OF IT ?!?!?!?   MENTAL ILLNESS MY ASS !

SMH !"
50,FearlessZachary,,2020-10-28 01:28:47,"@MrAndyNgo They don’t care. They are criminals and should be treated as such. None of them should get away with this. #BLM is a joke, #antifa is a joke. #Democrats are a joke. All of them are on the same the Left side. That should say something about what the left wants."
51,ShermansShoes,Kronos,2020-10-28 01:28:42,"@MrAndyNgo This is how I imagine the #blm interviews for looting and rioting go.
https://t.co/WolTntjvwZ"
52,kalamanalu,,2020-10-28 01:28:26,"@JoeBiden Thank you, @JoeBiden.  My parents who think you're #sleepy need to hear this message. #BLM #Immigrantpowerednation"
53,BikeItPhl,"Philadelphia, PA",2020-10-28 01:28:16,This isn’t anywhere near the protests &amp; demonstration for #BLM &amp; #WalterWallace. This has nothing to do with it except a bunch of people are taking advantage knowing the cops will be focused on hassling the peaceful protesters so they are taking advantage of the situation. https://t.co/p7J33mEDdD
54,cam70357918,🇺🇸 CLE ,2020-10-28 01:28:06,"@MrAndyNgo Perfect place for #BLM riots, where there are lots of stores 😂😂"
55,truthbtold2911,Purgatory🖤📭🚒🎱🔥,2020-10-28 01:27:38,"@MsLaToshaBrown @BlackVotersMtr Getting it DONE!!!
#BLM #BVM #TruePatriots"
56,THCPetDoctor,"Berkeley, CA",2020-10-28 01:27:37,Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/ebc1v7mDSg
57,1Dittlinger,USA,2020-10-28 01:27:37,Watch -- #Obama Defends #BLM Protesters: Country Founded on Protesting https://t.co/4sqnCjTMG8 via @BreitbartNews - #Rioters #Looters #Terrorists
58,OHchrYsouLa,"Queens, NY",2020-10-28 01:27:33,Of course she would it’s well known that anti-fascist love to suppress media &amp; information #ANTIFA #BLM https://t.co/JnpXLqHdTE
59,amydipa,"Philadelphia, PA",2020-10-28 01:27:05,More of the protest on 52nd. Lots of  support from passing motorists. #phillyprotests #BLM https://t.co/1cwQkQEFt7
60,arnoldogarcia,Oakland in América Indigena,2020-10-28 01:26:50,"Fear of Black woman power.

“Women of color are primed to play a decisive role in this year's election. States like Florida, Texas, Georgia and Arizona are in play because of the formidable women of color vote.”
#BLM
#Black
#women
#vote https://t.co/4VHnldV4AE"
61,ChazMit,,2020-10-28 01:26:10,"#COVID, #BLM with @SterlingKBrown &amp; @skelechiwatson impeccable acting skills.  Recipe for me crying. @NBCThisisUs @ThisIsUsWriters #ThisIsUs"
62,MAGALogic,"Washington, DC",2020-10-28 01:25:59,Let’s make this a movement. #BLM #BidensLaptopMatters https://t.co/Vx5ylOYlwJ
63,dscansphoto,philadelphia,2020-10-28 01:25:59,"Now I truly know what it feels like watching riots , looting  and total chaos in someone else city. Lord take the wheel #westphilly #WalterWallace #Trending #cnn #blm #helicopters #phillypolice #ppd #prayforus #6abc https://t.co/3q40rMCwRX"
64,THCPetDoctor,"Berkeley, CA",2020-10-28 01:25:54,Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/G1lhtZGhi0
65,OnlySavon,,2020-10-28 01:25:04,#ThisIsUs  starting off strong with not only Covid but “I can’t breath “ the last words of #GeorgeFloyd and the #BLM riots 😭 @NBCThisisUs you’ve done it again depicting exactly how black family’s feel in America 😢!!! Bravo 👏🏾 @SterlingKBrown @skelechiwatson
66,kaykizzle_94,"Louisville, KY",2020-10-28 01:25:01,@jackharlow Jack Harlow. did his thing on the 2020 hip hop award Cypher. i’m loving this vibe. #502. #2020 #Blm #im
67,cbinflux,Mid-South,2020-10-28 01:24:35,All Yer Nikes Are Belong To #BLM!!!! https://t.co/4P1ijGyiwQ
68,artique_ari,,2020-10-28 01:24:09,Custom Black Lives Matter #BLM https://t.co/09hNHfSVe1
69,ShesMightyFine,"Minneapolis, MN",2020-10-28 01:23:59,I wanna watch every movie that takes place in the 60's now... Cuz... it feels like we are right back there. #blm #Elections2020
70,MJMusicEars,"Cleveland, OH",2020-10-28 01:23:56,"Watch ""Rich White Turd (Jared Kushner) Says Black Americans are ""Complaining"" &amp; Need to Want Success More!"" on YouTube https://t.co/mxPLx4I6a0 Fuck him..Jared says complaining blacks need to want to work harder #ArrestKushner #BLM #TrumpCrimeSyndicate #TrumpCrimeFamily"
71,KUnblocked,,2020-10-28 01:23:55,"Oh look, more #WhiteSupremacists #rioting #BLM #BLMAntifaTerroristsThugs https://t.co/y9ZNMYmFVm"
72,reed24ls,United States,2020-10-28 01:23:47,"@JoeBiden for the African Americans is the 94 Crime Bill, not wanting his kids in a racial jungle, saying the N word in session in 1985
@realDonaldTrump for the African Americans is The First Step Act releasing the ones #Biden locked up, funding the HBCU, Platinum Plan #BLM"
73,KyleJEngel,United States,2020-10-28 01:23:44,"#BLM and #Antifa fight over who’s gonna take the lead on destroying the city. 

@PhillyInquirer @PhillyPolice @FBIPhiladelphia @NHLFlyers @Eagles @Phillies 

https://t.co/uuGIrSSAQE"
74,DaliaAlAqidi,"Minneapolis, Washington DC",2020-10-28 01:23:35,"Did you get the memo from #BLM and #ANTIFA?
Mr. AG. https://t.co/SHSKQ5nCWS"
75,EugJHawk,"Eugene, OR",2020-10-28 01:23:11,"@realDonaldTrump #BLM
#BidenHarrisLandslide
#TrumpKillsEveryDay
#TrumpSurrendered
#IsThisRoundingTheCorner

Drop it off at the ballot box https://t.co/Sm5o8splht"
76,xagete,"Kenosha, WI",2020-10-28 01:22:27,Apparently large TV’s are how one expresses one’s concern for the death of a person. Who knew! #BLM #Philadelphiariots https://t.co/55h2UROO7J
77,THCPetDoctor,"Berkeley, CA",2020-10-28 01:22:17,Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/GBFR1C8zOx
78,TunitupRadio,"New York, USA",2020-10-28 01:21:43,"#NowPlaying Land Of Sunshine - Beres Hammond
 https://t.co/nqpZjGhbQd please send tunes now #music   #followback #BLM #Love #funny   #tunein"
79,GreyCrossStudio,"New Orleans, Louisiana",2020-10-28 01:21:38,"Louisville Death Squads (The Breonna Taylor Protests 6)
https://t.co/aWmPgHram7

#art #protests #BLM #BlackLivesMatter #BreonnaTaylor #Louisville #Kentucky #surrealism https://t.co/K8wLfmw6C5"
80,ChrisMayle7,,2020-10-28 01:21:27,@Tan16E Pick different albums from different people #blm ✌🏿✌🏿✌🏿✌🏿✌🏿✌🏿😭😭😭❤️❤️❤️❤️❤️🖤🖤🖤🖤
81,MichaelRoeJr,"Middletown, Ohio",2020-10-28 01:21:27,@skelechiwatson Had to turn off this show due to this terrorist supporting crap. #BLM is shoved in our face from the liberal left radicals. Protests and riots are extremely embarrassing to see. You’ve ruined this show.
82,GreyCrossStudio,"New Orleans, Louisiana",2020-10-28 01:21:21,"No One is Safe (The Breonna Taylor Protests 7)
https://t.co/HvgGKfJM6A

#art #protests #BLM #BlackLivesMatter #BreonnaTaylor #Louisville #Kentucky #surrealism https://t.co/a7oCQhGuKP"
83,GreyCrossStudio,"New Orleans, Louisiana",2020-10-28 01:21:06,"Offerings (The Breonna Taylor Protests 8)
https://t.co/4zrDrcdIxW

#art #protests #BLM #BlackLivesMatter #BreonnaTaylor #Louisville #Kentucky #surrealism https://t.co/xERMofVQKN"
84,dapf,,2020-10-28 01:20:45,"Vote #Democrat this November if you want more of this happening in your town. This doesn't happen in #Republican run Cities/States.

#WalkAwayFromDemocrats , just #WalkAway.

#DNC
#JoeBiden 
#JoeBidenKamalaHarris2020 
#AntifaRiots 
#AntiFascist 
#BLM
#BLMmarxists https://t.co/NkQVQhr1px"
85,THCPetDoctor,"Berkeley, CA",2020-10-28 01:20:43,Anti-Trump? PLEASE VOTE #MakeAmericaUnitedAgain #vetsforscience #FTrumpS #OperationMAGA #antitrump #dumptrump #biden2020 #trump #voteblue #negligenthomicide #blm #murdererinchief #bidenharris #shitler #FuckTrumpsShit https://t.co/7QxkOdpZxv
86,Bufshuf,"New York, USA",2020-10-28 01:20:34,"In this election, you are either pro-John Lewis or pro-Bull Connor. There is no middle ground. #VoteBlueToSaveAmerica #BLM"
87,CaitJTaylor,"Philadelphia, PA",2020-10-28 01:20:20,"If I see one more comment defending police killings that says something like “no one understands what it’s like to deal with such dangerous people,” I’m gonna lose it. As if social workers, treatment providers, and others don’t manage to deescalate crises?! #WalterWallace #BLM"
88,NoWayLeftButUp,Vale of White Horse,2020-10-28 01:20:02,"Unreal. Thugs.
#Philadelphia #blm #BlackLivesMatter https://t.co/jiKCUbJ5nd"
89,Terrence_STR,Standing Rock,2020-10-28 01:19:45,"""BLACK LIVES STILL MATTER"": The oldest of Walter Wallace Jr.'s three sons spoke out during a family press conference Tuesday evening.  #BLM #TenDemandsNow https://t.co/HgYf87yrbt"
90,Realmrssepia1,Trump's Hell🔥 NO DM'S SICKOS ,2020-10-28 01:19:34,"#WalterWallaceJr THIS IS HARD TO WATCH, BUT CLOSING OUR EYES IS NOT AN OPTION. There should be specially trained officers for mental illness, killing isn't the answer! #MentalIllnessAwarenessWeek #JusticeForWalterWallace #saytheirnames  #BLM   

 https://t.co/mKNCESeu1p"
91,SolarMelt,NoWhere,2020-10-28 01:19:30,"#BLM Now Means ""Biden's LapTop Matters""."
92,mkegop,"Milwaukee County, Wisconsin",2020-10-28 01:19:28,#BLM = Biden's Laptop Matters
93,cinserella,Vermont,2020-10-28 01:19:26,"tiny pandemic poems:
Vol. 2 #148

bravely grab 
unexpected joy
that sings 
your soul’s song
use both hands
don’t let go

Cinse Bonino
2020

#PandemicLife #BLM #Quarantine #selfawareness #resilience #poetry #anxiety #depression #fear #hope #seechoosedo #2020 #blacklivesmatter"
94,CertifiedTalal,Yeah yeah yeah yeah we gay,2020-10-28 01:19:08,"@moisoffthedome Ayo??? Wym “you stupid paki”
._. Y’all see this guys?

#feminist #feminism #feminists #activism #activist #equal #blm #blacklivesmatter   #loveislove #lgbt 
#equalrights #empoweringwomen #empower #pride #intersectionalfeminism #intersectional #equality #genderequality #politics"
95,TJphunk,Dennison tx,2020-10-28 01:18:22,#KEEPTHATSAMEENERGY like you do when police shoot an armed criminal! #BLM #benjamincrump #fakenews https://t.co/4FuJK8hihZ
96,Mumble1994,Earth,2020-10-28 01:17:54,"REMINDER (10/27/2020):

#BLM, the statement, is true

#BLM, the organization, is a Marxist/Terrorist org designed to, ONCE AGAIN, exploit POC for the betterment of the Democrats.

Secret Service 
#PlausibleDeniability 
#Bobulinski 
#Trump2020
#BidenLaptop
#VOTE 
#BidenHarris2020"
97,CNDCounsellor,"Ontario, Canada",2020-10-28 01:17:48,"@NBCThisisUs covering #virtualtherapy woot! 💻🛋

Among all the other important things that have changed in the world. Bam, bam bam, all in 10 min:   #adoptiontrauma #blm #covid19 #telehealth. https://t.co/WtEDdD0ITV"
98,Esyeonby,Silver spring md,2020-10-28 01:17:44,If you don’t vote you are stupid and when you vote Don't vote for stupid #coronavirus #TrumpIsLosing #BidenHarris2020 #VOTE #Halloween #AmericaNeedsMichigan #leadership #BlackLivesMatter #BLM
99,shanermurph,"Lincoln, Ontario",2020-10-28 01:17:40,"#Philadelphia
Just in:

“They’re not helping my family, they’re showing disrespect. Stop this violence and chaos. People have businesses."" says Walter Wallace Jr’s father. 

The family condemns the looting and rioting in West Philly over their sons death. 

#WalterWallace #BLM https://t.co/hSwlSrMRC8"
