,User,Location,DTG,Message
12,VolpeMarianne,,2020-10-28 02:36:38,"#Courage #Hero #liberty is defended by men like Elijah Schaffer. Reporting what the Obama-blessed, Clinton-enabled ""black lives matter"" #BLM destroyers are doing. End America, ""by any means necessary"". CNN, ABC, NBC, Fox, CBS can't report the #truth? https://t.co/ZO0ZqBlNgk"
13,Bzz_Lightyear,"Washington, DC",2020-10-28 02:36:25,^^ Walter Wallace Jr. #BLM
14,MikeDSully,RI ,2020-10-28 02:36:12,@Julio_Rosas11 @MrAndyNgo For all of the protesting they do these videos sure contain quite a bit of disgustingly fat overweight and unhealthy looking people #BLM #Philadelphiariots
15,VxLcp3115,USA,2020-10-28 02:36:07,#BLM #blacklivesmatter #violence #Looters #America  needs #LawAndOrder 🇺🇸 https://t.co/UtTHDZCoS4
16,Conserv14,,2020-10-28 02:35:52,@HeroAtLarge323 @FrankBarone43 #BLM = Burn Loot Murder
17,Mr_Matrx,"Calgary, Ab",2020-10-28 02:35:47,#BLM ALWAYS!--Tell me a joke!-- !merch !sounds https://t.co/bzKvOCfRQM
18,WALSTGUY,"Los Angeles, CA",2020-10-28 02:35:46,"Watched #BLM ""peaceful"" looters clean out a Walmart, a T-mobile, &amp; some mom &amp; pop shops tonight. I can guarantee you if asked, more than 1/2 would not know the name of who they are ""protesting"" for. This is about opportunity to steal &amp; nothing more. #TRUMP2020ToSaveAmerica🇺🇸🇺🇸🇺🇸 https://t.co/1HxF8s9RuS"
19,NPadillaNYC,"Brooklyn, NY",2020-10-28 02:35:43,"""We"" as in me, myself and I believe. How about you? Vote like you mean it: https://t.co/ZOfofEa0Ok #Election2020 #vote2020 #vote #earlyvoting #voteearly #BLM #blacklivesmatter #feminists #feminism #loveislove #equality #scienceisreal #immigrantrights #humanrights https://t.co/bHcWbbddKf"
20,eebbonyy,Wisteria Lane,2020-10-28 02:35:41,@_taylorquinn REAL TALK. #BLM
21,foreigngrown8,United States,2020-10-28 02:35:26,We are ALL exhausted #BLM https://t.co/65PQZWJavV
22,mikediazzz,Anywhere as long as its in TX.,2020-10-28 02:35:18,@stillgray @WEdwarda It’s mostly peaceful protests. #BlackLivesMatter #BLMprotest #BLM https://t.co/psqovhxklB
23,DaliaAlAqidi,"Minneapolis, Washington DC",2020-10-28 02:35:08,"Peaceful drivers in NY.
#BLM   #ANTIFA
##Election2020 https://t.co/RtZ7xFdhu1"
24,ScottyP13,,2020-10-28 02:35:07,#BLM AT ITS FINEST https://t.co/FagL7yV7L8
25,isthatcalvin_,"Los Angeles, CA",2020-10-28 02:35:02,@JoyAnnReid @donlemon You have to watch this!!!! #BlackTwitter #blackqueen #BlackLivesMetter #blm #BidenHarris2020 https://t.co/9WZbygGll4
26,BriannaJones3,"Corpus Christi, TX",2020-10-28 02:34:45,"Did you have this reaction with LA looted after the NBA championship? No? So looting only okay if it is not calling out racial injustice. No surprise from you, snowflake. #BLM #whitefragility #privilegedbrat https://t.co/r6MLmvQBld"
27,DurkinSusan,"Quincy,MA",2020-10-28 02:34:36,@shirlee65076170 @shobare07 @JennaEllisEsq Excellent comeback SHIRLEE! You sure told them #BLM
28,MikeDSully,RI ,2020-10-28 02:34:23,@MrAndyNgo @TMobile @Julio_Rosas11 The maggots are multiplying #BLM #phillyriot
29,edwardsran8,,2020-10-28 02:34:20,#BLM supports @JoeBiden @KamalaHarris ...they are destroying cities and livelihoods 😳🥺
30,freddie1999,England,2020-10-28 02:33:40,VIDEO: #BLM break into @TMobile store and begin looting. https://t.co/hA02GdMoxc #Philadelphia #DementiaJoe 🇨🇳 #Biden 🇨🇳 #KamalaHarris 🇨🇳 #Philly #BLMAntifaTerrorists #Diversity
31,Conserv14,,2020-10-28 02:33:36,#BLM = Burn Loot Murder
32,WestKansas1,,2020-10-28 02:33:35,All #white #WorldSeries baseball players would make perfect extras in a remake of #Deliverance.  #MLB. #BLM
33,gymgrl365,,2020-10-28 02:33:27,@PhillyPolice Fuck #blm
34,dmc1109,"Carroll Gardens, Crooklyn, NY",2020-10-28 02:33:27,"I tell ya what. Let's get the cops to stop killing Black people, then we can worry about the helicopters hovering over Brooklyn annoying you? But, I think one is more important than the other? #WalterWallace #BLM"
35,danielhendricks,USA 🇺🇸,2020-10-28 02:33:09,"#Philadelphia, we need you! #VoteRedToSaveAmerica 

#PeacefulProtests #BLM #DemocratsAreDestroyingAmerica https://t.co/jBFfqV0hqJ"
36,TomEngel18,"Edmonton, Alberta, Canada",2020-10-28 02:33:04,"""...column written by a CPS constable in 10-4, the #Police union's magazine, surfaced — and referred to Black Lives Matter as a 'police hate group'.""
@neufeld_mark could take action by transferring him to pawn shop detail. #SystemicRacism #BLM

https://t.co/qkgpooEGbg"
37,DanuThoughts,Invernalia,2020-10-28 02:33:03,Because #BLM https://t.co/kmOX6AkoqQ
38,Tufftruth,"Maryland, USA",2020-10-28 02:32:58,"@kwsanders @RickMuscles Dude, who cares? It obviously a fake story to promote a lie against #BLM &amp; equal rights protesters. Why go any further, change the subject to start cursing &amp; start some bullshit with the libs? Please tell me u have something much more interesting 2do than that."
39,katewerk,,2020-10-28 02:32:51,Grief shopping. #BLM https://t.co/octWvhQSUP
40,NoWayLeftButUp,Vale of White Horse,2020-10-28 02:32:50,"#WhiteSupremacists are looting in #Philadelphia. 

#blm #BlackLivesMatter #WhiteSupremacy https://t.co/8oQ66Zsi0R"
41,trvshxscum,,2020-10-28 02:32:46,"Please do not use #blm to be liked while being hurtful to POC behind the scenes. As an influencer maybe stick to pretend liking “sponsors” rather than marginalized people
Thanks @ElleStanger for the talking points!
#Golden  

@ElleStanger https://t.co/95GTFYam4f"
42,DuarteDeigo,"Manteca, CA",2020-10-28 02:32:45,"There so much hate/anger in the world 😓 #EndSARS #FuckDonaldTrump and everyone voting for him... cuz I see there allot of y’all weird Mf’s that claim #BLM but and have black friends and Mexican friends and still rooting for the MF 🤯.. FUCK OUTTA HERE 
P.S. #Fuck12 #EndRacism"
43,CaliLiliIndies,TheCaliLiliIndies™VenusBeach™,2020-10-28 02:32:22,"@VermontSOS @gracepotter #WhenWeVote☑️ 
We Get Heard 📣
#WhenWeDontVote🗳️ 
WeGetHerded🚈
Ride #HERstory #GlobalFRATparty™OVER Election Train Revisited© 
https://t.co/PvJWzhW9RX https://t.co/VE62SQzFIT  
#BLM #NOH8 #VAWA #LGBTQ  #ClimateAction 
#RBG 
#RBGLegacy
#Vote
Like 
It's
A
Lifetime 
Appointment"
44,DuesExMachina7,United States,2020-10-28 02:32:19,Fucking #blm why not to vote #biden https://t.co/PLI77gON6v
45,sjperry1985,"Kansas City, MO",2020-10-28 02:32:17,"@NBCThisisUs taking a stand for BLM, I’m here for it!!!!! ♥️ #BLM #ThisIsUs @SterlingKBrown"
46,David_Beier,"Los Angeles, CA",2020-10-28 02:32:12,I'm going to keep posting this until the election.  Voting isn't enough.  Here are some more ways you can help.  https://t.co/wjtOePoRPg  #Election #VOTE #BLM
47,tbasharks,,2020-10-28 02:32:09,"Tue Jul 28 2020 Portland, Oregon - Protester struck with tear gas canister WATCH: https://t.co/dEvxvMRbf0 #PortlandOregon #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice"
48,iamdeniise,"Miami, Florida",2020-10-28 02:32:01,Ohhhhh we’re having this conversation. YES let’s Randall &amp; Kate #BLM @NBCThisisUs #ThisIsUs @SterlingKBrown
49,TDurden306,,2020-10-28 02:31:41,@Breaking911 @JenniJoyceTV Defund the police. Out murdering more innocent people. #blm
50,VGDragon55,Cuba,2020-10-28 02:31:38,@DLCAVA @RepDMP @RepShalala @ElectJavier @MiamiDadeCounty @MiamiDadeBCC @Vote4Chambliss Where is the #BLM movement? Why isn’t there outrage? Why is Danny Devito trying to grab publicity? https://t.co/hHTubNOXIA
51,suniia_,,2020-10-28 02:31:28,"STOP KILLING BLACK PEOPLE
STOP KILLING BLACK PEOPLE
STOP KILLING BLACK PEOPLE 
STOP KILLING BLACK PEOPLE 
STOP KILLING BLACK PEOPLE 
STOP KILLING BLACK PEOPLE
STOP KILLING BLACK PEOPLE
#BLM #WalterWallaceJr"
52,LaCosaNostraDam,Steel Palace,2020-10-28 02:31:28,@stillgray Stop coming at police with weapons. This isn’t hard. Stop resisting. #BLM
53,TunitupRadio,"New York, USA",2020-10-28 02:31:24,"#NowPlaying Go Freddie Go - Freddie McGregor
 https://t.co/nqpZjGhbQd please send tunes now #music   #followback #BLM #Love #funny   #tunein"
54,ASKdesignCSI,"Calgary, Canada & online",2020-10-28 02:31:13,"Important, major #culture #change work needed and underway within the police service. #antiracism #bias #GenderBasedViolence #BLM #BIPOC #MMIWG https://t.co/uhvGDh5kT7"
55,janem1276,"Fredericksburg, VA",2020-10-28 02:31:10,Fatal Shootings by Police Consistently Higher for BIPOC than Whites #BLM https://t.co/8gbiTYo7u9
56,stepash,"Chingsessing, Lenapehoking",2020-10-28 02:31:07,"Never ceases to amaze me that conservative policies value property over people, and then they all act shocked and horrified wondering why people steal &amp; destroy shit. People are just speaking YOUR language. DUH. #PeopleOverProfits #BLM"
57,Nutzbuster,"Phoenix, AZ",2020-10-28 02:31:03,"TRICK OR TREAT 🎃 smell my feet . All this to honor their fallen brother. Such a sweet gesture and well deserved, #BLM #Reparations #oh and 80 people just lost their jobs https://t.co/4nBXumtbNL"
58,Amphibian5Thx,,2020-10-28 02:30:53,@STEPHMHAMILL @footlocker Didn’t they donate millions to #BLM ?... looks like it still wasn’t enough to ensure their protection ....
59,Requiem_Inori,the world,2020-10-28 02:30:33,#Philadelphiariots #Philly #Philidelphia #BLM #blacklivesmatter #VOTE #Biden2020 #election  BLM rioters LOOT and ROB stores throughout PHILADELPHIA tonight. Pennsylvania residents hide in their houses as BLM destroys the city. BIDEN stays silent. https://t.co/WB1aubZEBS
60,Q_Element,"Atlanta, GA",2020-10-28 02:30:33,@MrAndyNgo WalMart and FootLocker being looted by #BLM in memory of Walter Wallace
61,eldinvillafane,"Boston, MA",2020-10-28 02:30:16,A #GoodNight with this...#BLM #BLMBoston #BlackandBrown #Latino #Latinx #COVID19MA #COVID19 #MApoli #Bospoli #JackieRobinson #MookieBetts #BrooklynDodgers #Dodgers   #Baseball #BranchRickey 👇🏾 https://t.co/Bq1xqbOxr9
62,N0JSTICEN0PEACE,,2020-10-28 02:30:15,"All Black lives still matter. 
#BLM #BLACKLIVESMATTER"
63,FalconheadStage,,2020-10-28 02:30:06,These Three Words #BLM https://t.co/KJbObUEcJg via @YouTube
64,DeniceWilliams6,,2020-10-28 02:29:58,Now let's replace a Boogaloo member with a #BLM activist drinking water?  How would this encounter been different? https://t.co/A3eynciPdO
65,ResumeGod1,,2020-10-28 02:29:27,@ParkerGFitness It's clear to me the #BLM/#Antifa #terrorists will stage planned riots nationwide on #ElectionDay2020  and cause widespread disruption and destruction
66,askquestions112,"New york, ny",2020-10-28 02:29:12,https://t.co/bQlnWk4tgK #blm #chicago #walkaway #biden #trump @MMFlint @cnn @ChrisCuomo @donlemon @50cent @SavannahGuthrie so proud to be in the right side of history #trumolandslide
67,REALlyPOTtUS,"Palm Beach, FL",2020-10-28 02:29:08,"#Iowa 
@senjoniernst has seen @POTUS fix: North Korea, Border Wall, Covid-19, high IRS taxes, wildfires, etc. Plus #BLM has been created. GREATEST PRESIDENT SINCE LINCOLN. #KAG2020"
68,Richardzocca9,,2020-10-28 02:28:57,Violance from #BLM !!!! BLM is terrorist !!! https://t.co/cBDfhFXsco
69,VolpeMarianne,,2020-10-28 02:28:50,#VOTE #VoteTrump2020 #Pennsylvania don't follow Biden. Vote to #SayNotoHate #NoBurnLootMurder #BLM destroyers. Lives are at stake and the future requires we #StandUp #WalkAway. Biden fail to raise Harris to power? #SocialismKills #Cheaters #Losers. https://t.co/Z5kL86jfIu
70,DaliaAlAqidi,"Minneapolis, Washington DC",2020-10-28 02:28:41,"We are stupid.
It’s a peaceful protest, you idiots.

Yet, the National Guards were called just to tuck the peaceful protestors their beds.

#Philadelphiariots 

#BLM #ANTIFA https://t.co/ER1WXvRIGz"
71,REALlyPOTtUS,"Palm Beach, FL",2020-10-28 02:28:35,"#Iowa 
@joniernst has seen @POTUS fix: North Korea, Border Wall, Covid-19, high IRS taxes, wildfires, etc. Plus #BLM has been created. GREATEST PRESIDENT SINCE LINCOLN. #KAG2020"
72,DW2K_TDT,Kingdom of Zeal ,2020-10-28 02:28:35,"#BreakingNews you won’t see this getting covered by #FakeNews media, these are the REAL @JoeBiden #voters #BLM https://t.co/UQQC9wN9hY"
73,ResumeGod1,,2020-10-28 02:28:31,@RosetaniLiving It's clear to me the #BLM/#Antifa #terrorists will stage planned riots nationwide on #ElectionDay2020  and cause widespread disruption and destruction
74,craigwash82,New York,2020-10-28 02:28:27,They love business more than they love black lives #blm #BlackLivesMatter #vote https://t.co/NGoeqz5hIj
75,CognitiveRight,,2020-10-28 02:28:27,#BLM is a terrorist organization who cares NOT about black lives - or any lives for that matter. https://t.co/HcWO9hKynm
76,CHE_YoTomoMate,"Malvinas Argentinas, Argentina",2020-10-28 02:28:21,"You would imagine that people sitting in quarantine have all the time to vote?

By @ChrisCuomo and @DNC @JoeBiden seems as NOT?!

Oh, I see... the #Antifa and #blm are on the streets... no time to VOTE while looting!

#USA is a Banana Republic!

Welcome to SA politics! https://t.co/dOwADjP75A"
77,SebastinPatron3,,2020-10-28 02:28:18,@SVNewsAlerts #BLM Antifa Violent looters great campaign for republican voters. Independents and undecided know Dems support defunct police.
78,Kand1Land,DMV,2020-10-28 02:27:56,Stop. Killing. Us. #BlackLivesMatterDC #BLM #blacklivesmatter
79,Toritha11,,2020-10-28 02:27:46,"@Jim_Jordan Police keep killing people instead of deescalating situations. 

#BlackLivesMatter 
#BLM https://t.co/aY0gDKiYXH"
80,OzzyO52969090,,2020-10-28 02:27:42,"#Rioters #Looters and #BlackLivesMatter #BLM with #Democrats in #Philadelphia
#JoeBiden and #KamalaHarris for more #riots 
#DemocratsAreDestroyingAmerica as you can see https://t.co/uTexhSt4dW"
81,dsims94,"Austin, TX",2020-10-28 02:27:41,#Philadephia at this moment is showing what happens when the #UnitedStates is bought out by the #Oligarchy and the #corporations. When #SystematicRacism is actually in power in our government. #BLM #Philadelphiariots #Philadelphiaprotest
82,boston_camera,"Boston, MA",2020-10-28 02:27:03,"@ScottAdamsSays Let’s start with your house. We will put out the call to #BLM, #ProudBoys and #antifa 🙄 https://t.co/04R2WsJMHf"
83,V5M1000,"London, United Kingdom",2020-10-28 02:27:02,"@JoeBiden Walter Wallace Jr., the Philly man who pursued police w/a knife before being shot, was a rapper. The convicted felon was awaiting trial for threatening to shoot a woman &amp; her house up. In 2017, he pled guilty to putting a gun to another woman’s head. #BLM https://t.co/cshhpyRb8S"
84,CognitiveRight,,2020-10-28 02:26:52,@graciejcurtis #BLM is a terrorist group. They're destroying this country and they don't care about black rights; they just want to steal InstantPots and fancy lamps from Walmart. What garbage.
85,ResumeGod1,,2020-10-28 02:26:34,@RosetaniLiving It's clear to me the #BLM/#Antifa #terrorists will stage planned riots nationwide on #ElectionDay2020  and cause widespread disruption and destruction
86,CommunismKills_,United States,2020-10-28 02:26:29,Philly #BLM Mob Attack Reporter Covering The Looting https://t.co/RPF6geSuqj via @YouTube
87,harlequinambz,Near the dessert tray,2020-10-28 02:26:28,"#RIPWalterWallace 

Another life needlessly taken. Seriously, after everything throughout this year, the protests, the pleas for this to never happen again, we have another black man shot dead by police?

America has a gun problem and that includes law enforcement. #BLM"
88,freddie1999,England,2020-10-28 02:26:25,VIDEO: The scene inside @DollarTree as widespread looting and vandalism continues in #Philadephia. Police overwhelmed by the 1000+ looters involved. https://t.co/psSC0tMbDS #BLMAntifaTerrorists #BLM 🇨🇳 #JoeBiden 🇨🇳 #KamalaHarris 🇨🇳 #Diversity
89,J_Ishiro,Oort Belt,2020-10-28 02:26:20,"They care about black lives. Really.
#BLM https://t.co/O7ARU3IqEv"
90,WJacksonMoore,"London, England",2020-10-28 02:26:18,"@PwC_UK join the campaign to recruit 10,000 black interns in British companies #BLM  https://t.co/bV4tJQ7m80… via @financialtimes https://t.co/hiw9E4FL5C"
91,KCVeteran4thIVY,"Lee's Summit, MO",2020-10-28 02:26:14,"Sing around the Street Fire, Join the #BLM....
#Philadelphiariots #Philadephia https://t.co/OQAhJBU8gY"
92,D3v1lsAdvocat3,,2020-10-28 02:26:11,"Walter Wallace had a knife and was approaching the officers...

So #blm is full of shit 

Twisting the story just discredits them even more"
93,samityme,,2020-10-28 02:25:52,"#BLM BS looting.
These crimes have to stop.
@realDonaldTrump will stop them.
Need more Republican #Governors voted in!
#BlueStates will not let @potus stop this.
#VoteRed https://t.co/wey9uhZPlX"
94,Republicanunit2,"Woodville, FL.  USA",2020-10-28 02:25:19,"#Philadelphia riots will turn Pennsylvania Trump red in 2020.  Its not OK to loot and riot. Ever.

#blm #BLMprotest #riots #trump #biden"
95,DW2K_TDT,Kingdom of Zeal ,2020-10-28 02:24:57,Animals! This is #BlackLivesMatter #BLM the domestic terrorist group destroying #America! @JoeBiden voters trying to kill cops! #Brooklyn #LawAndOrder #MAGA #Trump #Trump2020 we can’t allow #SleepyJoe to win! https://t.co/ge72O8uemV
96,skallabard69,"Indiana, USA",2020-10-28 02:24:55,"@DeAnna4Congress Because they take their Orders from the #Democrat Governor.  

#Philly #PA #Pennsylvania #BLM #MSM #Dems"
97,MarcSafman,"Astoria, NY",2020-10-28 02:24:53,@anti_flag Can't #DefundPollive without ending #CarceralAbleism #disabilityjustice #BLM  #vote #EarlyVote #cripthevote https://t.co/onZ1aIGDmv
98,NickfromTN,,2020-10-28 02:24:31,#BLM.  BIDEN’S LAPTOP MATTERS! #TonyBobulinski #TuckerCarlson
99,CognitiveRight,,2020-10-28 02:24:21,"@MrAndyNgo Also ""The use of force upon or toward another person is justifiable when the actor believes that such force is immediately necessary for the purpose of protecting himself against the use of unlawful force by such other person on the present occasion."" -PA gun laws. Justified #BLM"
