,User,Location,DTG,Message
41,MikeyKNOWITALL,"Philadelphia, PA",2020-10-28 02:54:11,"@Mattrago98 @TomiLahren And when I say “This day will come” I mean today, I’m totality, in society.  Brother if you really don’t realize this is a game of puppeteering to them, I am sorry. #BLM &amp; #JoeBiden are the worst things to happen to the black community since the “New Day Deal” #KAG2020Landslide"
42,WillontheRadio,"Toronto, Ontario",2020-10-28 02:54:10,"🚨 #Philadelphia Looting Continues - Someone took a Washing Machine

#Philadelphiariots #phillyriots #phillypolice #BlackLivesMatter #BLM #Election2020 #VOTE
#USARevolts #usariots

https://t.co/JXbl6DR1pN"
43,JohnChamberli18,,2020-10-28 02:53:53,"Philadelphia police say 1,000 looters targeting businesses on second night of protests

https://t.co/Q82tTVRUQP
Because nothing says “we remember our fellow citizen” and protesting like stealing stuff and making people who actually support your cause, not any longer! #losers #blm"
44,realitytvcray,Everywhere,2020-10-28 02:53:51,"Because #Democrats have normalized this #BLM behavior. Philadelphia police say 1,000 looters targeting businesses on second night of protests. 

https://t.co/WSwWiys2R5"
45,dasindonna,"New York, NY",2020-10-28 02:53:38,Am I the only one watching @NBCThisisUs? The acting and writing are incredible. My heart is breaking and I’m barely holding it together. #ThisIsUs  #COVID19 #BLM #Alzheimer
46,freddie1999,England,2020-10-28 02:53:18,VIDEO:  Looting begins once again after police abandon  @Walmart. https://t.co/EB2X9fcZ1J #looting #BLM 🇨🇳 #JoeBiden 🇨🇳 #HunterBiden #KamalaHarris 🇨🇳 #DementiaJoe #Philadelphia
47,katieskloset_tn,Tennessee,2020-10-28 02:52:22,"@CW2PointO @ELL0100 Funny how the liberals burn, loot and destroy their own Democratic cities. #BidenRiots #blm #MakeItMakeSense #freestuff #crime #Philly #BackTheBlue #Trump2020 #StopTheViolence"
48,pjphelan32,,2020-10-28 02:52:19,Trump’s marketing team have such an easy job this political season. Thanks for another free ad #BLM https://t.co/Id70ddtd7f
49,spazzdog,Earth,2020-10-28 02:52:14,"Tragic…
#EnoughIsEnough
#BLM https://t.co/M4NAsy8Mg5"
50,Alfieanne,"Temecula, CA",2020-10-28 02:52:10,"@realDonaldTrump Why do you want to be President?  Clearly, it is not your shtick.   #BidenHarrisToSaveAmerica #COVID19 #BLM #TeamAmerica 🇺🇸"
51,ronnyswanswan,,2020-10-28 02:52:07,"Presenting: The Left's America. 😪

#BidenHarris2020 #Biden #Biden2020 #BidenCrimeFamiily #BLM #BLMAntifaTerroristsThugs #BLMprotest #AntifaTerrorists #AntiFascist #Antifa #Trump #Trump2020 #Trump2020Landslide https://t.co/NYn1oLYC6t"
52,TDurden306,,2020-10-28 02:52:02,@TMZ @TooFab This isn’t news. #blm
53,chosenfool,SOUTH Jersey,2020-10-28 02:51:43,"the #mashup you never asked for.
. 
From @supa_blackgirl via @iamlenaheadey. thank you @pfurs! 

#because2020 #vote #BLM #signsfromangels https://t.co/XNiZb2WDmZ https://t.co/clFWLueWU7"
54,danielhendricks,USA 🇺🇸,2020-10-28 02:51:40,"@prageru #Pennsylvania, we need you! #VoteRedToSaveAmerica from #Democrat #PeacefulProtests and #BLM!"
55,TitaniumHammer,TL Is A Cumulative Case.,2020-10-28 02:51:34,"#WalkAway from #Abortion #SJW #ANTIFA #BLM and #MAGA - Change American society back into a nation of independent, free-spirited citizens who would rather mop out toilets than suffer the disgrace of accepting government handouts. https://t.co/3GwnndEpsD"
56,TerriTiedt,,2020-10-28 02:51:32,@DailyCaller Because #BLM so let’s loot the Walmart for our holiday stuff...
57,JamesWhitty15,"Washington, DC",2020-10-28 02:51:30,"@amandajs78 I was wondering the same thing. These #BLM terrorists were just waiting for an excuse to loot and riot.
I was hoping the guard would go in tonight and kick some BLM azz.
#KAG2020"
58,WillontheRadio,"Toronto, Ontario",2020-10-28 02:51:20,"🚨 #Philadelphia Looting Happening Now.

#Philadelphiariots #phillyriots #phillypolice #BlackLivesMatter #BLM #Election2020 #VOTE
#USARevolts #usariots

https://t.co/1WKjOtIzWK"
59,carlm919,USA,2020-10-28 02:51:14,"Tucker exclusive: Tony Bobulinski, ex-Hunter Biden associate, speaks out... https://t.co/1ls2bg8KhL  #BlackLivesMatter #BLM #globalist #Communists #America #fakenews #riots2020 #Liberals #dems #Socialist #Leftists #redpill #walkaway #BlacksForTrump #maga #Trump2020"
60,teensnowtalk,"Nova Scotia, Canada",2020-10-28 02:51:02,Excited @tbonethebarber on west coast is reppin our east coast  #BLM T  and helping to Spreading the movement  and starting the conversations.  #TeensNowTalk #teensnowtorkeapparel https://t.co/U7Fe62E1da
61,ChrisCh84719626,,2020-10-28 02:50:56,Look at all of the animals outside of their cages in Philadelphia. You preach #BLM but the world is just laughing at you. Laughing hysterically as you tear apart your own neighborhoods. #phillyprotests
62,powermattttttt,SoCal,2020-10-28 02:50:48,"Now Streaming! 
Episode 46:🦑🐙 Splatting the Zones then after Running with Salmons, Part 15. 💦 #Splatoon2 #スプラトゥーン2
#powermattttttt #KatamariLife #BLM https://t.co/XP5XR3bo7J"
63,OWLSI1,i_am_owlsi  on Instagram  ,2020-10-28 02:50:15,"HYPOCRITICAL GOP
no logic!...""just don't tell ME what to do""

@anyonewantchips #BLM #LGBTQ #BIDENHARRIS #WomenForBiden #MyBodyMyChoice @SportsCliches @Fine95889361 @SoCalresists @AllTransLivesM1 @koslen_bambi https://t.co/vPZuyL8zWF"
64,Leland613,United States,2020-10-28 02:50:13,"@JoeBiden @NorahODonnell @JoeNBC @WillieGeist @morningmika @jaketapper @wolfblitzer @maddow @NicolleDWallace @GStephanopoulos @SpeakerPelosi  @ChrisCuomo Where’s the follow-up? Where’s the outrage? Just when you thought you had #BLM under wraps, boom, they bite ya in the arse https://t.co/ONO8n5SMnK"
65,ToddRadley2,"Phoenix, AZ",2020-10-28 02:49:58,"@xxxTtimexxx @Reuters How about this headline? Violent felon who once put a loaded gun to a woman’s head is rightfully killed for trying to murder a cop. Shame on Philly for the violent riots and looting.

#BLM #BlackLivesMatter #WalterWallaceJr #WalterWallace https://t.co/F7SaO3E2QH"
66,FatBanksy,America,2020-10-28 02:49:00,"@JudiciaryGOP @PhillyMayor NYC had a drive run over a line of police tonight! It's not just Philly, this is organized crime across state lines. The organizers and who is funding this? #DemocRATS are funding violent #BLM riots"
67,Kkoenig314,"California, USA",2020-10-28 02:48:53,@Julio_Rosas11 #BLM stop this bullshit. It really doesn’t help your cause.
68,JoeBlow97119434,Watching civilization burn,2020-10-28 02:48:42,I guess #bankofamerica didn't bend the knee enough or donate enough money to #BLM. https://t.co/GkkJGZvNOg
69,ChopardMy,United States,2020-10-28 02:48:39,#blm. This life mattered to trump but not to Obama.  Praise God for his freedom ❤️#WalkAwayFromDemocrats #walkaway @HerschelWalker https://t.co/SBDUnryyPY
70,WillontheRadio,"Toronto, Ontario",2020-10-28 02:48:31,"🚨 #Philadelphia Pull Up Looting - Happening Now.

#Philadelphiariots #phillyriots #phillypolice #BlackLivesMatter #BLM #Election2020 #VOTE
#USARevolts #usariots

https://t.co/akN6oV3pcy"
71,gymgrl365,,2020-10-28 02:48:30,How much of a lowlife do you have to be to riot and do this in the city #blm animals #phillyriot https://t.co/4DTHCirxiS
72,basementpoli,,2020-10-28 02:48:26,@stillgray Do you think it is a coincidence that on the same night Bobulinski exposes the #BidenCrimeFamiily there's mass #BLM rioting and violence across the country?
73,OHchrYsouLa,"Queens, NY",2020-10-28 02:48:21,"#BLM at its finest..burn,loot and murder and then repeat https://t.co/hTHTXA8yRH"
74,beebeejay22,"Alaska, USA",2020-10-28 02:48:07,Breaking: Duke Tanner Freed From Prison https://t.co/Jl1J6Rz3k4 via @YouTube #JUSTSAYIN THOUGH #BLM
75,BannyTweets,"Miami, FL",2020-10-28 02:47:41,"Where is the ""we still need cops"" crowd?? 

I'd bet they are most likely too busy doing nothing with the ""most cops are good"" and the ""it's only a few bad apples"" crowd 

#FTP #ACAB #BLM #BlackLivesMatter  #NoJusticeNoPeace https://t.co/cyZqxGr8JW"
76,Lev2013MEorSTFU,"By The Pond, ""I'M RURAL"", USA",2020-10-28 02:47:41,"Automatically, black people are now described as Black Lives Matter protesters?...by racist white idiots looking to smear BLM with looters' acts. Did he get their #BLMbadgenumbers? NO fucking white people looting those stores? He's a racist LIAR. #BLM #WLDMM #progsH8LIARS https://t.co/SYauiW2Azf"
77,CaliLiliIndies,TheCaliLiliIndies™VenusBeach™,2020-10-28 02:47:31,"@voteathome #WhenWeVote☑️ 
We Get #HEARD📣
#WhenWeDontVote🗳️ 
WeGetHERDED🚈  #GlobalFRATparty™OVER #ElectionTrain  © 2012🚈2016🚈 2020📣 
https://t.co/PvJWzhW9RX https://t.co/VE62SQzFIT  
#Climate #BLM  
#MeToo #NOH8 
#United We Thrive
Divided We Fall For AnyThing 
#Election2020"
78,Bethechangeyo12,,2020-10-28 02:47:30,Come on guys. You are better than this. You are destroying your beautiful city and this is making their case for them. Looting is not the same as protesting #bebetter #blm  https://t.co/YwGov2ZZGu
79,AldousHaring,,2020-10-28 02:47:30,"#Democrats spent the election year talking about #BLM and  career criminal #GeorgeFloyd,  then let trump pack courts, most importantly the #SupremeCourt. Obviously black lives didn’t really matter. When #trump wins next week it will be horrible for america they kinda deserve it"
